episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
16;Extrovert;0;0;0;-1.000;8;28.229;0.266;2.677;5.999;8.140;14.240
16;NonAgreeable;6;2;1;2.960;7;47.739;3.000;2.616;4.687;0.620;11.640
16;Conscientious;0;0;0;-1.000;7;31.471;0.531;2.737;6.956;1.620;12.940
16;Introvert;0;0;0;-1.000;4;42.635;3.000;2.791;7.328;1.820;11.660
17;Extrovert;0;0;0;-1.000;3;19.154;2.018;3.216;6.708;3.120;2.640
17;NonAgreeable;6;2;0;-1.000;5;37.010;1.898;2.903;6.139;0.020;4.440
17;Conscientious;0;0;0;-1.000;1;13.719;0.826;3.929;6.588;1.520;3.120
17;Introvert;0;0;1;0.580;3;31.143;0.985;3.094;9.196;0.820;4.080
18;Extrovert;0;0;0;-1.000;2;24.080;0.442;3.108;6.945;5.420;2.740
18;NonAgreeable;3;1;1;9.259;9;39.695;0.300;2.774;5.273;0.320;12.140
18;Conscientious;0;0;0;-1.000;4;24.358;0.866;2.579;5.971;0.620;9.240
18;Introvert;3;1;0;-1.000;3;30.757;0.835;3.336;6.527;1.020;6.460
19;Extrovert;1;0;0;-1.000;9;14.443;1.289;2.170;3.006;3.580;7.520
19;NonAgreeable;2;1;1;6.341;6;36.443;1.067;2.489;4.771;0.320;4.680
19;Conscientious;1;0;0;-1.000;6;16.197;0.162;2.396;5.502;0.820;6.060
19;Introvert;2;1;0;-1.000;3;18.129;0.472;2.366;5.224;0.620;3.580
20;Extrovert;0;0;0;-1.000;5;15.310;0.750;2.450;8.185;3.080;5.820
20;NonAgreeable;4;1;1;6.280;6;37.975;3.000;2.742;6.047;0.220;6.080
20;Conscientious;0;0;0;-1.000;4;18.668;0.442;2.365;8.224;1.320;5.600
20;Introvert;2;1;0;-1.000;1;20.128;0.287;3.076;7.607;0.620;4.220
21;Extrovert;0;0;0;-1.000;0;10.679;1.603;3.244;6.039;2.700;1.000
21;NonAgreeable;2;1;1;0.901;1;18.582;1.255;3.032;9.019;0.020;1.180
21;Conscientious;0;0;0;-1.000;1;10.148;1.760;3.822;9.110;0.720;1.180
21;Introvert;4;1;0;-1.000;0;18.656;2.518;3.734;5.640;0.720;1.000
22;Extrovert;0;0;0;-1.000;4;12.506;0.005;2.159;4.475;2.600;3.920
22;NonAgreeable;1;0;0;-1.000;8;17.368;0.953;2.326;8.209;0.220;6.820
22;Conscientious;4;1;0;-1.000;7;16.119;0.519;2.475;3.547;0.160;3.840
22;Introvert;0;0;0;-1.000;1;10.653;1.893;2.618;7.630;0.120;1.220
23;Extrovert;3;1;0;-1.000;1;16.697;0.942;3.602;2.407;2.120;4.780
23;NonAgreeable;3;1;1;1.880;2;27.256;3.000;3.587;7.218;0.220;4.700
23;Conscientious;0;0;0;-1.000;1;15.656;0.998;3.401;5.715;0.720;2.000
23;Introvert;0;0;0;-1.000;0;18.919;0.552;5.445;13.024;0.720;0.000
24;Extrovert;0;0;0;-1.000;0;20.485;0.752;3.296;8.691;5.180;8.600
24;NonAgreeable;5;2;1;14.081;1;33.066;2.758;3.283;5.890;0.020;10.300
24;Conscientious;0;0;0;-1.000;0;22.338;0.092;4.286;10.148;2.100;5.820
24;Introvert;1;0;0;-1.000;1;31.361;1.923;3.633;4.970;1.520;7.240
25;Extrovert;0;0;0;-1.000;6;17.134;0.113;2.106;5.440;1.500;8.620
25;NonAgreeable;4;1;1;7.899;5;27.402;3.000;2.601;3.923;0.320;8.100
25;Conscientious;2;1;0;-1.000;7;18.864;0.112;2.134;5.251;0.620;9.780
25;Introvert;0;0;0;-1.000;0;28.140;1.281;2.941;5.547;0.420;1.080
26;Extrovert;1;0;0;-1.000;0;11.265;0.683;3.637;4.105;3.000;2.400
26;NonAgreeable;1;1;1;2.101;4;24.583;2.870;2.879;6.441;0.120;6.200
26;Conscientious;2;1;0;-1.000;4;16.634;0.215;2.644;4.963;0.820;6.820
26;Introvert;2;0;0;-1.000;2;21.491;0.135;2.850;4.889;0.560;3.100
27;Extrovert;0;0;0;-1.000;0;14.921;0.285;3.049;5.195;2.700;1.580
27;NonAgreeable;4;1;1;3.259;0;22.267;3.000;3.157;4.941;0.020;1.200
27;Conscientious;0;0;0;-1.000;0;18.067;1.505;3.502;6.295;0.520;0.640
27;Introvert;2;1;0;-1.000;0;18.660;0.493;3.453;4.286;0.520;0.840
28;Extrovert;0;0;0;-1.000;2;14.196;0.863;2.668;6.389;4.220;7.100
28;NonAgreeable;1;0;1;3.230;1;28.918;2.112;3.035;7.698;0.120;2.560
