episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
141;1;null;4.800;2.980;0.920;0.900
142;0;Timer;34.741;4.740;30.001;0.000
143;1;null;9.780;5.000;2.080;2.700
144;1;null;10.840;6.340;1.220;3.280
145;1;null;18.520;6.080;9.460;2.980
146;1;null;10.520;4.600;3.000;2.920
147;1;null;16.540;2.380;7.520;6.640
148;1;null;15.000;5.660;6.300;3.040
149;1;null;10.160;3.960;3.580;2.620
150;1;null;8.980;4.800;1.080;3.100
151;1;null;12.400;4.640;2.560;5.200
152;1;null;13.580;3.900;3.540;6.140
153;1;null;22.700;5.680;3.180;13.840
154;1;null;9.460;4.920;1.520;3.020
155;1;null;13.380;2.180;1.420;9.780
156;1;null;14.880;6.260;5.140;3.480
157;1;null;21.520;2.300;7.060;12.160
158;0;Timer;33.921;3.920;24.280;5.720
159;1;null;14.640;7.620;5.980;1.040
160;1;null;14.900;9.220;1.940;3.740
161;1;null;7.820;2.760;1.620;3.440
162;1;null;11.420;4.220;3.360;3.840
163;1;null;15.580;5.720;2.840;7.020
164;1;null;19.920;5.240;2.440;12.240
165;1;null;11.540;4.440;1.140;5.960
166;1;null;9.540;3.200;3.580;2.760
167;1;null;13.800;3.280;7.200;3.320
168;1;null;12.480;5.800;1.480;5.200
169;1;null;9.400;3.700;2.540;3.160
170;1;null;8.580;3.360;1.440;3.780
171;1;null;20.480;6.460;9.820;4.200
172;1;null;12.160;4.600;4.700;2.860
173;1;null;13.240;4.940;6.740;1.560
174;1;null;19.460;6.360;9.360;3.740
175;1;null;14.540;8.700;3.280;2.560
176;1;null;6.520;3.820;1.660;1.040
177;1;null;28.140;7.140;13.860;7.140
178;1;null;12.600;3.660;5.480;3.460
179;1;null;21.120;6.440;2.240;12.440
180;1;null;14.720;4.880;4.420;5.420
181;1;null;7.540;2.960;1.220;3.360
182;1;null;15.080;5.700;6.180;3.200
183;1;null;15.480;4.740;5.940;4.800
184;1;null;8.860;4.080;1.420;3.360
185;0;DragonEscaped;15.180;15.180;0.000;0.000
186;1;null;8.100;3.260;2.580;2.260
187;1;null;7.980;2.820;3.340;1.820
188;1;null;23.700;5.340;9.840;8.520
189;1;null;8.040;2.480;2.360;3.200
190;1;null;13.420;4.040;0.620;8.760
191;1;null;16.720;4.720;5.020;6.980
192;1;null;16.500;7.360;4.720;4.420
193;0;Timer;33.601;3.600;30.001;0.000
194;1;null;13.520;3.140;5.100;5.280
195;1;null;14.300;5.840;2.720;5.740
196;0;DragonEscaped;9.520;9.520;0.000;0.000
197;1;null;8.500;5.260;1.000;2.240
198;1;null;9.800;4.500;2.100;3.200
199;1;null;22.860;3.620;1.120;18.120
200;1;null;12.620;3.740;0.940;7.940
201;0;DragonEscaped;9.280;9.280;0.000;0.000
202;1;null;8.160;3.160;1.720;3.280
203;1;null;8.600;5.280;0.420;2.900
204;1;null;6.660;4.140;2.040;0.480
205;1;null;9.860;6.140;2.280;1.440
206;1;null;13.940;5.860;4.380;3.700
207;1;null;20.320;4.060;12.200;4.060
208;1;null;16.520;3.300;5.700;7.520
209;1;null;13.420;3.060;3.260;7.100
210;1;null;9.120;4.160;2.200;2.760
211;1;null;10.800;2.980;3.020;4.800
212;1;null;13.000;6.000;0.780;6.220
213;1;null;12.980;2.140;0.880;9.960
214;1;null;13.960;5.260;2.760;5.940
215;1;null;12.800;6.780;2.060;3.960
216;1;null;8.800;2.660;5.680;0.460
217;1;null;16.520;6.400;4.520;5.600
218;1;null;26.460;3.240;17.700;5.520
219;1;null;10.480;3.660;1.180;5.640
220;1;null;8.860;2.080;4.020;2.760
221;1;null;10.520;3.180;1.920;5.420
222;1;null;10.100;4.780;2.480;2.840
223;1;null;11.640;6.840;2.800;2.000
224;1;null;8.980;3.740;3.040;2.200
225;1;null;7.940;2.460;1.480;4.000
226;1;null;10.260;4.340;1.440;4.480
227;1;null;10.220;5.080;3.960;1.180
228;1;null;14.280;4.340;1.900;8.040
229;1;null;16.040;7.000;6.260;2.780
230;1;null;23.880;3.400;16.500;3.980
231;1;null;12.680;5.680;4.220;2.780
232;1;null;11.320;6.780;2.880;1.660
233;1;null;13.720;4.300;3.620;5.800
234;1;null;14.340;5.640;5.300;3.400
235;1;null;14.460;3.980;1.280;9.200
236;1;null;12.700;4.080;4.660;3.960
237;1;null;17.960;9.420;2.340;6.200
238;1;null;14.140;7.820;0.860;5.460
239;1;null;12.760;6.700;1.620;4.440
240;1;null;12.100;2.740;1.900;7.460
241;1;null;11.140;9.340;1.040;0.760
242;1;null;9.000;3.260;1.480;4.260
243;1;null;16.480;3.720;4.600;8.160
244;1;null;9.980;3.980;3.380;2.620
245;1;null;17.260;3.980;7.780;5.500
246;1;null;14.080;5.260;5.780;3.040
247;0;Timer;36.061;6.060;7.360;22.640
248;1;null;18.440;3.440;5.440;9.560
249;1;null;9.520;5.840;2.320;1.360
250;1;null;12.020;5.900;2.740;3.380
251;1;null;6.900;3.220;1.580;2.100
252;1;null;8.720;2.840;1.280;4.600
253;1;null;16.640;9.580;3.280;3.780
254;1;null;27.360;8.720;14.560;4.080
255;1;null;5.380;2.840;1.980;0.560
256;1;null;24.640;8.500;10.640;5.500
257;1;null;24.480;3.980;10.480;10.020
258;1;null;21.100;5.040;2.900;13.160
259;1;null;12.100;5.520;3.420;3.160
260;1;null;9.200;5.840;2.700;0.660
261;1;null;9.760;2.000;1.760;6.000
262;1;null;9.100;5.120;3.000;0.980
263;1;null;14.180;3.900;6.640;3.640
264;1;null;14.460;4.620;7.980;1.860
265;1;null;17.120;7.040;4.480;5.600
266;1;null;11.480;3.780;3.960;3.740
267;1;null;30.381;15.420;12.740;2.220
268;1;null;13.800;4.520;1.920;7.360
269;1;null;19.000;5.840;9.880;3.280
270;0;DragonEscaped;10.240;10.240;0.000;0.000
271;1;null;12.040;6.720;1.340;3.980
272;1;null;13.000;4.880;2.500;5.620
273;1;null;8.460;4.900;1.120;2.440
274;1;null;22.480;6.740;14.280;1.460
275;1;null;17.760;4.260;5.000;8.500
276;1;null;19.040;9.680;6.460;2.900
277;0;DragonEscaped;9.960;9.960;0.000;0.000
278;1;null;23.800;5.740;17.220;0.840
279;1;null;11.060;4.100;5.200;1.760
280;1;null;12.020;6.600;3.860;1.560
281;1;null;12.640;6.680;2.080;3.880
282;1;null;7.120;3.120;1.760;2.240
283;1;null;31.161;6.880;1.840;22.440
284;0;DragonEscaped;11.420;11.420;0.000;0.000
285;1;null;12.740;4.480;4.000;4.260
286;1;null;8.280;2.940;0.980;4.360
287;1;null;6.660;2.360;2.620;1.680
288;1;null;7.620;6.800;0.240;0.580
289;1;null;12.360;5.020;6.400;0.940
290;1;null;14.980;5.100;4.180;5.700
291;1;null;19.860;11.280;5.180;3.400
292;1;null;14.220;4.080;2.960;7.180
293;1;null;12.220;7.080;4.140;1.000
294;1;null;9.920;6.260;1.720;1.940
295;0;Timer;36.581;6.580;27.660;2.340
296;1;null;19.260;2.980;6.480;9.800
297;1;null;8.540;4.720;3.240;0.580
298;1;null;22.320;6.560;9.440;6.320
299;1;null;14.120;6.840;5.380;1.900
300;0;DragonEscaped;8.660;8.660;0.000;0.000
