episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;0;0;0;-1.000;15;32.044;2.599;2.889;8.530;6.840;17.520
1;Agreeable;0;0;0;-1.000;6;39.554;3.000;3.108;8.351;1.720;7.280
1;Conscientious;6;2;0;-1.000;5;66.246;3.000;3.012;6.030;0.320;10.640
1;Neurotic;0;0;0;-1.000;6;21.683;3.000;3.542;10.512;1.920;7.200
2;Extrovert;1;0;0;-1.000;16;18.800;0.763;2.224;4.366;2.980;18.860
2;Agreeable;4;1;0;-1.000;16;30.788;0.888;2.297;3.123;0.800;16.560
2;Conscientious;1;1;1;12.080;10;40.118;3.000;2.591;5.335;0.400;8.320
2;Neurotic;0;0;0;-1.000;0;15.806;1.298;3.647;5.526;1.400;0.000
3;Extrovert;1;0;0;-1.000;3;10.643;2.599;3.471;2.376;1.260;4.860
3;Agreeable;5;2;0;-1.000;3;15.532;1.838;2.957;3.968;0.220;4.860
3;Conscientious;0;0;1;0.640;1;23.998;2.255;3.709;9.904;0.140;2.960
3;Neurotic;0;0;0;-1.000;1;18.304;1.285;3.743;9.292;0.420;2.780
4;Extrovert;0;0;0;-1.000;7;21.008;1.559;2.867;9.142;2.180;11.160
4;Agreeable;3;1;0;-1.000;2;25.047;0.894;3.439;5.344;0.620;1.780
4;Conscientious;3;1;1;2.639;0;36.116;3.000;3.530;8.729;0.660;1.560
4;Neurotic;0;0;0;-1.000;5;13.984;0.740;3.382;10.599;0.920;10.540
5;Extrovert;0;0;0;-1.000;5;18.642;0.398;3.316;6.111;1.260;7.400
5;Agreeable;6;2;0;-1.000;1;18.627;0.323;3.339;3.166;0.600;3.420
5;Conscientious;0;0;1;1.559;0;21.290;3.000;5.156;8.509;0.300;0.680
5;Neurotic;0;0;0;-1.000;4;14.000;0.738;4.235;7.496;0.700;3.980
6;Extrovert;0;0;0;-1.000;1;14.342;1.443;4.277;12.229;3.020;2.280
6;Agreeable;4;1;0;-1.000;2;24.643;2.192;3.565;3.698;0.340;1.620
6;Conscientious;1;0;1;6.579;5;34.070;3.000;3.177;6.020;0.220;5.100
6;Neurotic;1;1;0;-1.000;2;15.274;1.189;3.465;3.881;1.620;3.160
7;Extrovert;0;0;0;-1.000;2;12.845;0.161;3.401;5.371;3.500;2.160
7;Agreeable;3;0;0;-1.000;3;21.581;0.058;2.632;4.892;1.100;6.540
7;Conscientious;3;2;1;6.521;5;27.482;2.363;2.476;3.819;0.320;8.440
7;Neurotic;0;0;0;-1.000;0;15.426;0.280;3.632;5.844;1.020;0.000
8;Extrovert;0;0;0;-1.000;9;17.194;1.294;2.046;5.867;3.420;12.600
8;Agreeable;4;2;0;-1.000;7;25.899;0.379;2.326;7.025;0.760;10.960
8;Conscientious;1;0;1;3.480;4;31.206;0.799;3.579;4.365;0.120;4.480
8;Neurotic;1;0;0;-1.000;2;9.940;1.201;2.669;7.161;1.920;7.120
9;Extrovert;0;0;0;-1.000;13;20.496;0.603;2.193;8.843;1.720;9.640
9;Agreeable;1;0;0;-1.000;7;18.703;0.535;2.195;6.381;0.620;7.620
9;Conscientious;5;2;1;2.199;4;29.696;3.000;3.105;5.408;0.620;3.560
9;Neurotic;0;0;0;-1.000;4;16.347;0.769;2.838;8.552;0.820;3.620
10;Extrovert;0;0;0;-1.000;4;17.975;0.585;2.649;6.398;2.500;5.580
10;Agreeable;2;1;0;-1.000;2;24.790;1.334;2.559;6.336;0.820;6.420
10;Conscientious;4;1;1;4.179;2;34.199;3.000;3.193;5.358;0.200;3.800
10;Neurotic;0;0;0;-1.000;0;17.411;0.588;3.447;9.268;1.280;0.740
11;Extrovert;0;0;0;-1.000;12;15.386;0.363;2.712;8.824;0.760;11.060
11;Agreeable;5;1;0;-1.000;10;18.541;1.988;2.833;4.374;0.320;7.820
11;Conscientious;0;0;1;1.099;0;30.840;3.000;4.600;7.326;0.420;0.480
11;Neurotic;1;1;0;-1.000;10;15.291;1.785;2.751;9.560;0.320;11.300
12;Extrovert;0;0;0;-1.000;0;14.201;0.535;4.300;8.984;1.200;0.560
12;Agreeable;1;1;0;-1.000;0;11.155;2.582;4.630;8.241;0.120;0.000
12;Conscientious;5;1;1;0.960;0;18.706;3.000;3.829;4.221;0.120;0.560
12;Neurotic;0;0;0;-1.000;0;12.072;0.425;4.959;7.165;0.520;0.000
13;Extrovert;0;0;0;-1.000;4;15.366;0.067;4.114;12.768;1.780;4.200
13;Agreeable;3;1;0;-1.000;0;15.963;0.147;4.548;4.322;0.120;0.000
13;Conscientious;0;0;1;1.481;4;25.716;1.976;3.939;12.101;0.120;4.200
13;Neurotic;3;1;0;-1.000;0;11.080;0.175;4.689;4.036;0.520;0.000
14;Extrovert;0;0;0;-1.000;0;14.358;0.829;4.824;10.703;1.620;0.000
14;Agreeable;3;1;0;-1.000;1;9.970;0.783;4.053;3.623;0.820;0.980
14;Conscientious;1;1;1;0.602;3;18.992;3.000;3.497;4.836;0.120;3.120
14;Neurotic;2;0;0;-1.000;2;12.405;0.177;3.346;5.281;0.620;2.140
15;Extrovert;0;0;0;-1.000;5;15.309;0.089;2.586;4.682;1.300;3.560
15;Agreeable;3;1;0;-1.000;1;16.444;0.810;2.591;4.765;0.620;1.460
15;Conscientious;3;1;1;4.443;5;25.373;3.000;2.431;4.706;0.120;4.660
15;Neurotic;0;0;0;-1.000;1;8.616;0.334;3.684;9.718;0.720;0.960
16;Extrovert;1;1;0;-1.000;4;11.918;0.002;2.720;8.704;2.160;4.240
16;Agreeable;3;1;0;-1.000;0;21.713;0.953;2.844;7.345;0.260;0.880
16;Conscientious;1;0;1;1.261;0;24.086;2.634;2.932;9.731;0.320;1.800
16;Neurotic;1;0;0;-1.000;4;16.002;1.011;2.455;7.831;0.520;4.240
17;Extrovert;0;0;0;-1.000;0;18.382;0.754;3.308;6.463;2.920;5.440
17;Agreeable;3;2;0;-1.000;3;21.682;0.808;3.359;3.571;0.520;4.260
17;Conscientious;3;0;1;6.282;3;37.157;3.000;2.958;4.323;0.220;5.060
17;Neurotic;0;0;0;-1.000;0;11.836;0.908;3.192;6.497;1.260;5.440
18;Extrovert;0;0;0;-1.000;5;17.111;1.976;2.934;4.427;3.160;7.300
18;Agreeable;0;0;0;-1.000;3;19.973;3.000;2.544;8.339;0.820;5.880
18;Conscientious;6;2;1;1.979;0;29.986;3.000;3.392;5.826;0.320;0.660
18;Neurotic;0;0;0;-1.000;2;11.917;1.978;2.890;9.914;1.840;4.880
19;Extrovert;3;1;0;-1.000;5;13.260;0.474;1.857;3.604;1.480;8.000
19;Agreeable;2;1;0;-1.000;3;19.224;1.034;1.869;3.758;0.520;4.960
19;Conscientious;1;0;1;4.860;2;26.666;3.000;2.552;4.675;0.320;3.200
19;Neurotic;0;0;0;-1.000;0;9.104;0.204;2.500;6.817;1.120;4.680
20;Extrovert;0;0;0;-1.000;2;21.313;0.807;2.642;9.540;4.520;12.520
20;Agreeable;3;1;0;-1.000;4;29.076;0.007;3.109;6.158;1.080;4.900
20;Conscientious;3;1;1;2.200;4;38.253;3.000;3.731;6.433;0.420;6.580
20;Neurotic;0;0;0;-1.000;4;20.166;0.585;3.038;11.538;1.720;14.260
21;Extrovert;0;0;0;-1.000;6;12.039;0.950;3.236;7.188;3.200;4.940
21;Agreeable;3;1;0;-1.000;9;18.808;0.160;3.152;4.514;0.120;10.320
21;Conscientious;3;1;1;5.980;3;26.241;2.259;3.078;4.939;0.220;6.680
21;Neurotic;0;0;0;-1.000;0;9.617;0.093;5.484;12.008;1.340;0.000
22;Extrovert;0;0;0;-1.000;0;14.623;0.658;5.047;13.782;3.320;0.000
22;Agreeable;5;2;0;-1.000;1;15.903;1.333;4.367;3.090;0.420;1.140
22;Conscientious;1;0;1;0.779;4;23.169;2.380;3.454;8.967;0.220;4.640
22;Neurotic;0;0;0;-1.000;3;12.015;0.296;3.391;9.044;0.420;3.500
23;Extrovert;0;0;0;-1.000;0;14.764;0.002;3.199;7.385;2.200;3.160
23;Agreeable;5;2;0;-1.000;7;18.762;1.078;3.387;3.802;0.620;4.540
23;Conscientious;1;0;1;3.940;7;27.702;3.000;3.028;3.893;0.220;4.560
23;Neurotic;0;0;0;-1.000;0;12.952;0.264;3.583;6.921;1.720;3.180
24;Extrovert;0;0;0;-1.000;15;22.666;0.003;2.430;6.991;2.400;17.040
24;Agreeable;0;0;0;-1.000;25;25.421;0.309;2.026;4.584;1.420;19.400
24;Conscientious;6;2;1;11.559;17;37.690;3.000;2.772;2.381;0.420;10.120
24;Neurotic;0;0;0;-1.000;5;16.487;0.020;3.184;6.572;2.220;6.440
25;Extrovert;1;0;0;-1.000;9;15.532;0.731;2.923;6.138;2.800;6.440
25;Agreeable;4;2;0;-1.000;2;19.374;0.606;3.024;3.908;0.500;3.000
25;Conscientious;1;0;1;1.700;0;27.466;3.000;3.875;5.217;0.400;0.880
25;Neurotic;0;0;0;-1.000;7;17.693;1.480;3.559;9.632;0.720;4.320
26;Extrovert;0;0;0;-1.000;2;17.303;2.599;2.467;5.128;4.180;5.840
26;Agreeable;4;1;0;-1.000;5;26.229;3.000;2.425;4.602;0.720;8.640
26;Conscientious;2;1;1;4.700;3;39.505;3.000;2.671;4.606;0.120;5.020
26;Neurotic;0;0;0;-1.000;2;15.974;2.346;2.877;7.998;2.820;5.700
27;Extrovert;0;0;0;-1.000;5;19.132;0.490;2.376;4.669;1.920;4.680
27;Agreeable;5;1;0;-1.000;6;18.434;0.455;1.887;4.103;0.520;5.240
27;Conscientious;1;1;1;2.561;6;22.530;1.142;1.730;5.162;0.820;6.960
27;Neurotic;0;0;0;-1.000;1;12.939;0.486;2.440;7.336;0.820;2.720
