episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
136;0;Timer;37.421;7.420;2.080;27.920
137;0;Timer;34.001;4.000;12.040;17.960
138;1;null;19.480;9.340;4.540;5.600
139;1;null;13.340;4.920;1.240;7.180
140;1;null;12.320;1.020;6.240;5.060
141;0;Timer;37.341;7.340;8.040;21.960
142;0;Timer;35.501;5.500;4.340;25.660
143;0;DragonEscaped;9.240;9.240;0.000;0.000
144;1;null;30.241;6.820;17.620;5.800
145;0;DragonEscaped;13.020;13.020;0.000;0.000
146;0;Timer;36.081;6.100;29.981;0.000
147;1;null;22.400;13.380;1.040;7.980
148;1;null;31.221;9.920;5.220;16.080
149;0;Timer;31.361;1.360;1.180;28.820
150;1;null;14.580;8.600;1.500;4.480
151;0;Timer;35.381;5.380;3.280;26.720
152;1;null;36.181;17.840;1.140;17.200
153;0;Timer;32.761;2.760;30.001;0.000
154;1;null;12.420;0.860;9.240;2.320
155;1;null;15.300;13.200;0.440;1.660
156;1;null;12.200;6.580;1.420;4.200
157;0;DragonEscaped;10.720;10.720;0.000;0.000
158;0;Timer;36.181;6.180;30.001;0.000
159;0;Timer;41.341;11.320;0.860;29.160
160;1;null;24.280;8.240;1.700;14.340
161;1;null;35.061;7.480;2.940;24.640
162;1;null;17.900;12.200;0.820;4.880
163;0;Timer;34.401;4.400;3.600;26.400
164;1;null;17.860;9.640;4.720;3.500
165;1;null;29.560;10.100;14.900;4.560
166;1;null;14.280;4.620;0.660;9.000
167;1;null;19.540;8.400;8.880;2.260
168;1;null;20.300;4.420;8.240;7.640
169;1;null;23.200;2.820;0.620;19.760
170;0;Timer;41.281;11.280;3.080;26.920
171;0;DragonEscaped;12.080;12.080;0.000;0.000
172;1;null;18.540;2.620;12.540;3.380
173;0;Timer;39.161;9.160;8.780;21.220
174;1;null;30.321;10.900;18.820;0.600
175;1;null;29.840;7.100;11.220;11.520
176;1;null;15.500;5.260;1.860;8.380
177;1;null;33.381;9.760;12.220;11.400
178;1;null;20.460;8.760;2.300;9.400
179;1;null;12.360;2.900;1.840;7.620
180;1;null;13.300;5.220;1.600;6.480
181;1;null;24.760;11.140;4.840;8.780
182;1;null;25.060;4.460;9.160;11.440
183;1;null;10.920;6.680;0.960;3.280
184;1;null;10.420;6.540;3.000;0.880
185;1;null;17.900;4.940;7.500;5.460
186;1;null;21.060;9.280;1.000;10.780
187;1;null;24.740;8.460;6.040;10.240
188;0;Timer;33.941;3.940;2.280;27.720
189;1;null;25.540;12.640;9.980;2.920
190;0;Timer;42.081;12.080;1.280;28.720
191;0;Timer;34.281;4.260;1.500;28.520
192;1;null;16.920;5.620;0.600;10.700
193;1;null;6.520;2.240;1.620;2.660
194;0;Timer;40.381;10.380;1.760;28.240
195;1;null;23.320;14.240;2.320;6.760
196;1;null;34.801;11.820;2.940;20.040
197;1;null;16.620;5.000;3.900;7.720
198;1;null;28.700;9.380;11.740;7.580
199;1;null;18.020;4.360;1.280;12.380
200;1;null;18.800;4.640;1.800;12.360
201;1;null;13.260;3.380;5.200;4.680
202;1;null;22.480;9.760;9.840;2.880
203;0;Timer;40.381;10.380;26.080;3.920
204;1;null;22.460;4.860;4.300;13.300
205;1;null;24.220;4.460;4.040;15.720
206;1;null;9.920;4.220;0.600;5.100
207;1;null;15.840;7.260;3.140;5.440
208;1;null;24.500;5.200;2.020;17.280
209;1;null;35.141;15.360;13.400;6.380
210;1;null;24.480;12.640;4.720;7.120
211;0;Timer;35.681;5.680;2.240;27.760
212;1;null;12.380;4.720;0.880;6.780
213;1;null;9.760;5.820;0.880;3.060
214;0;DragonEscaped;11.920;11.920;0.000;0.000
215;1;null;21.900;3.540;5.020;13.340
216;1;null;5.280;1.660;1.440;2.180
