episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Intro_Leader;0;0;0;-1.000;0;11.461;0.585;3.768;10.148;4.620;0.000
1;Intro_Balanced1;0;0;0;-1.000;0;20.881;2.444;3.398;5.864;0.120;0.980
1;Intro_Balanced2;0;0;1;2.540;2;26.101;2.367;3.276;6.524;0.640;4.900
1;Intro_Iso;6;2;0;-1.000;2;19.369;0.933;3.042;2.709;2.820;4.580
2;Intro_Leader;2;1;0;-1.000;3;18.908;0.002;3.177;5.936;1.340;6.280
2;Intro_Balanced1;1;0;0;-1.000;3;22.377;3.000;2.992;5.797;0.220;7.140
2;Intro_Balanced2;1;0;0;-1.000;0;16.833;0.251;4.150;6.580;0.220;1.320
2;Intro_Iso;0;0;0;-1.000;0;9.887;1.461;5.389;11.334;9.720;0.000
3;Intro_Leader;0;0;0;-1.000;0;17.464;2.599;3.624;7.371;1.060;0.000
3;Intro_Balanced1;0;0;0;-1.000;0;7.954;0.405;3.085;7.880;0.520;6.320
3;Intro_Balanced2;0;0;0;-1.000;0;10.680;0.454;4.112;11.061;0.920;0.000
3;Intro_Iso;0;0;0;-1.000;0;7.288;0.081;3.104;9.200;2.240;6.320
4;Intro_Leader;0;0;0;-1.000;4;25.225;1.522;3.367;4.375;8.520;5.660
4;Intro_Balanced1;4;2;0;-1.000;4;32.808;1.670;3.597;3.383;0.440;7.300
4;Intro_Balanced2;1;0;1;2.802;7;46.720;2.854;3.854;6.872;0.820;9.600
4;Intro_Iso;1;0;0;-1.000;1;19.865;0.367;4.151;5.346;1.920;3.480
5;Intro_Leader;2;1;0;-1.000;0;24.002;1.676;2.415;8.772;3.140;3.580
5;Intro_Balanced1;1;0;0;-1.000;0;17.532;0.027;2.819;6.634;0.280;2.080
5;Intro_Balanced2;0;0;0;-1.000;0;9.693;0.820;2.807;8.137;2.500;1.500
5;Intro_Iso;1;0;0;-1.000;0;16.000;2.432;3.093;8.558;0.100;0.000
6;Intro_Leader;1;1;0;-1.000;3;17.109;0.329;2.668;5.466;3.300;6.060
6;Intro_Balanced1;1;0;0;-1.000;0;12.873;0.756;3.160;5.030;1.320;0.000
6;Intro_Balanced2;1;0;1;1.742;3;23.648;1.223;2.554;5.471;0.420;8.340
6;Intro_Iso;3;1;0;-1.000;2;15.799;1.023;2.645;2.395;1.080;4.500
7;Intro_Leader;0;0;0;-1.000;3;19.221;0.274;2.820;9.740;4.520;9.740
7;Intro_Balanced1;1;1;1;1.161;2;35.876;1.380;3.264;8.358;0.320;6.100
7;Intro_Balanced2;0;0;0;-1.000;2;16.762;1.151;2.767;6.384;2.320;7.080
7;Intro_Iso;5;1;0;-1.000;1;15.589;0.090;2.818;4.340;1.540;7.440
8;Intro_Leader;4;1;0;-1.000;1;18.938;0.003;5.242;6.922;7.060;2.860
8;Intro_Balanced1;1;1;1;5.144;1;30.537;3.000;4.424;11.443;0.920;2.860
8;Intro_Balanced2;0;0;0;-1.000;0;14.919;0.767;4.948;10.516;0.900;0.000
8;Intro_Iso;1;0;0;-1.000;0;10.606;0.177;5.180;4.549;4.120;0.000
9;Intro_Leader;4;1;0;-1.000;0;23.985;0.002;3.437;4.066;10.840;12.240
9;Intro_Balanced1;0;0;1;16.255;0;23.892;1.393;4.729;7.252;1.920;0.000
9;Intro_Balanced2;2;1;0;-1.000;0;22.879;1.051;3.404;5.662;6.020;1.200
9;Intro_Iso;0;0;0;-1.000;0;13.567;0.067;3.288;6.185;6.960;12.080
10;Intro_Leader;1;0;0;-1.000;2;20.251;2.265;2.393;4.639;3.760;10.080
10;Intro_Balanced1;4;1;0;-1.000;2;17.423;0.264;3.755;3.009;0.920;3.940
10;Intro_Balanced2;0;0;0;-1.000;0;11.885;0.243;2.517;6.352;0.800;6.140
10;Intro_Iso;0;0;0;-1.000;0;10.291;0.196;3.437;8.535;4.320;0.000
11;Intro_Leader;3;1;0;-1.000;8;27.590;2.224;3.162;5.058;5.820;16.460
11;Intro_Balanced1;3;1;0;-1.000;5;24.237;0.935;4.935;6.943;2.620;6.380
11;Intro_Balanced2;0;0;1;14.267;3;36.210;2.698;3.513;8.014;1.120;5.920
11;Intro_Iso;0;0;0;-1.000;2;16.182;0.737;3.563;7.354;2.720;12.220
12;Intro_Leader;4;1;0;-1.000;1;20.818;2.172;3.944;3.449;1.780;5.000
12;Intro_Balanced1;0;0;0;-1.000;0;8.818;0.399;3.254;7.024;1.720;0.000
12;Intro_Balanced2;0;0;0;-1.000;0;10.726;1.197;3.844;9.478;0.420;2.760
12;Intro_Iso;1;0;0;-1.000;1;16.301;2.189;2.965;5.543;0.520;7.760
13;Intro_Leader;1;0;1;2.540;0;31.231;1.668;4.003;6.630;1.600;0.780
13;Intro_Balanced1;1;0;0;-1.000;3;27.708;0.476;4.364;6.169;0.500;4.380
13;Intro_Balanced2;3;1;0;-1.000;0;10.853;0.380;3.990;6.293;1.940;0.920
13;Intro_Iso;1;1;0;-1.000;3;15.275;0.117;3.523;7.383;2.200;4.240
14;Intro_Leader;2;0;0;-1.000;2;28.906;0.013;4.548;6.407;6.600;3.860
14;Intro_Balanced1;0;0;1;19.219;7;25.199;2.646;3.959;6.881;2.400;23.100
14;Intro_Balanced2;2;1;0;-1.000;7;19.634;0.210;4.281;6.795;3.700;25.760
