episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
144;1;null;23.62;4.88;7.82;10.92
145;1;null;13.72;5.42;1.06;7.24
146;1;null;12.68;4.86;4.76;3.06
147;1;null;14.56;6.4;3.46;4.7
148;1;null;28;5.8;18.4;3.8
149;1;null;11.88;4.52;2.58;4.78
150;1;null;9.88;4.58;1.98;3.32
151;1;null;12.96;7.12;3.6;2.24
152;0;DragonEscaped;9.52;9.52;0;0
153;1;null;16.4;7.58;2.34;6.48
154;1;null;28.62;6.64;12.02;9.96
155;1;null;15.52;5.8;4.12;5.6
156;1;null;6.16;3.42;1.82;0.92
157;1;null;10.46;5.1;0.38;4.98
158;1;null;14.48;5.3;4.06;5.12
159;1;null;15.32;7.12;4.18;4.02
160;1;null;11.86;4.14;3.22;4.5
161;1;null;10.58;3.86;3.64;3.08
162;1;null;11.84;6.36;1.22;4.26
163;1;null;8.22;2.9;2.82;2.5
164;1;null;17.28;6.9;5.14;5.24
165;0;Timer;32.241;2.24;30.001;0
166;1;null;10.52;4.46;2.12;3.94
167;1;null;10.84;4.52;4.56;1.76
168;0;DragonEscaped;9.42;9.42;0;0
169;1;null;8.2;2.28;1.38;4.54
170;1;null;13.7;4.44;2.98;6.28
171;1;null;12.24;4.86;3.52;3.86
172;1;null;13.74;5.08;4.98;3.68
173;1;null;16.5;5.12;9.84;1.54
174;1;null;9.68;2.38;4.54;2.76
175;1;null;10.62;5.98;3.92;0.72
176;1;null;17.88;6.52;10.08;1.28
177;1;null;13.3;3.92;6.54;2.84
178;1;null;13.92;3.38;6.94;3.6
179;1;null;11.36;5.72;4.12;1.52
180;1;null;12.58;3.52;5.3;3.76
181;1;null;20.54;7.9;11.16;1.48
182;1;null;7.66;3.6;1.34;2.72
183;1;null;13.62;5.78;1;6.84
184;1;null;26.16;10.68;11.58;3.9
185;1;null;12.46;8.14;3.04;1.28
186;1;null;10.26;2.76;1.64;5.86
187;1;null;7.18;4.88;1.1;1.2
188;1;null;12.38;6.94;3.94;1.5
189;1;null;14.04;5.62;5.72;2.7
190;1;null;10.86;4.4;0.74;5.72
191;1;null;14.48;10.38;0.94;3.16
192;1;null;17.58;6.48;7.78;3.32
193;1;null;28.22;5.88;19.5;2.84
194;1;null;19.24;6.28;8.02;4.94
195;1;null;17.6;6.94;6.68;3.98
196;1;null;6.1;1.64;3.54;0.92
197;1;null;10.9;5.02;2.18;3.7
198;1;null;9.1;4.26;1.14;3.7
199;1;null;10.98;4.58;5.62;0.78
200;1;null;13.24;6.8;3.44;3
201;0;Timer;36.281;6.28;30.001;0
202;1;null;13.14;4.34;5.48;3.32
203;1;null;12.04;7.66;3.6;0.78
204;1;null;16.28;5.02;6.88;4.38
205;1;null;13.12;3.24;3.22;6.66
206;1;null;11.6;5.42;2.24;3.94
207;0;DragonEscaped;11.38;11.38;0;0
208;1;null;14.64;5.28;6.06;3.3
209;1;null;6.9;2.3;2.16;2.44
210;1;null;10.02;3.88;2.12;4.02
211;1;null;12.42;6.94;4.04;1.44
212;1;null;18.84;8.64;6.32;3.88
213;1;null;16.32;5.96;2.1;8.26
214;0;DragonEscaped;12.48;12.48;0;0
215;1;null;9.58;4.76;4.3;0.52
216;1;null;15.72;3.34;7.5;4.88
217;1;null;19.84;5.84;7.16;6.84
218;1;null;7.74;2.84;2.3;2.6
219;1;null;14.24;5.1;5.62;3.52
220;1;null;14.04;3.7;5.04;5.3
221;1;null;14.6;5.62;4.54;4.44
222;1;null;12.08;6.32;1.6;4.16
223;1;null;18.44;4.68;9.56;4.2
224;1;null;13.14;7.42;0.6;5.12
225;1;null;25.92;2.72;18;5.2
226;1;null;13.64;4.5;2.42;6.72
227;1;null;11.72;6.96;2.78;1.98
228;1;null;9.02;3.04;2.52;3.46
229;1;null;10.38;5.18;2.06;3.14
230;0;DragonEscaped;10.32;10.32;0;0
231;1;null;16.6;7.1;7.6;1.9
232;1;null;12.74;6.5;1.18;5.06
233;1;null;8.5;4.4;1.34;2.76
234;1;null;12.48;6.3;3.5;2.68
235;1;null;17.76;5.54;7.48;4.74
236;1;null;10.2;5.66;1.6;2.94
237;1;null;21.46;6.84;5.7;8.92
238;1;null;15.56;3;8.74;3.82
239;1;null;10;4.98;1.64;3.38
240;1;null;15.6;6.26;5.8;3.54
241;1;null;23.6;11.82;7.02;4.76
242;1;null;10.1;6.2;0.96;2.94
243;1;null;8.2;6.98;0.74;0.48
244;1;null;15.5;2.54;6.82;6.14
245;0;DragonEscaped;8.5;8.5;0;0
246;1;null;16.9;10.5;2.84;3.56
247;1;null;27.86;2.78;20.22;4.86
248;1;null;20.02;5.44;6.14;8.44
249;1;null;12.14;5.76;2.62;3.76
250;1;null;12;4.72;4.98;2.3
251;1;null;9.68;4.24;2.52;2.92
252;0;DragonEscaped;9.58;9.58;0;0
253;1;null;11.48;5.36;1.94;4.18
254;1;null;14.06;8.54;2.54;2.98
255;1;null;6.94;4.96;1.32;0.66
256;1;null;14.08;2.94;5.76;5.38
257;1;null;10.24;5;1.72;3.52
258;1;null;9.4;4.48;3.28;1.64
259;1;null;13.68;6.22;2.96;4.5
260;1;null;9.08;6.56;0.76;1.76
261;1;null;12.32;6.8;1.14;4.38
262;1;null;24.04;8.98;7.28;7.78
263;1;null;16.84;6.44;2.9;7.5
264;1;null;11.7;6.34;2.46;2.9
265;1;null;11.36;3.72;3.48;4.16
266;1;null;10.58;5.1;1.74;3.74
267;1;null;6.12;3.68;1.56;0.88
268;1;null;35.521;6.98;25.98;2.56
269;1;null;17;7.36;6.64;3
270;1;null;19.3;5.26;4.72;9.32
271;1;null;14.38;5.34;6.52;2.52
272;1;null;19.32;6.56;2.64;10.12
273;1;null;11.86;5.6;2.86;3.4
274;1;null;14.42;3.94;6.62;3.86
275;1;null;12.82;8.02;1.38;3.42
276;0;DragonEscaped;9.86;9.86;0;0
277;1;null;16.74;9.3;2.78;4.66
278;1;null;17.96;9.9;6.9;1.16
279;1;null;24.68;4.64;9.18;10.86
280;1;null;18.36;5.58;9.42;3.36
281;1;null;21.6;4.44;13.22;3.94
282;1;null;10.72;4.42;2.56;3.74
283;1;null;10.16;4.38;4.38;1.4
284;1;null;14.44;9.82;2.36;2.26
285;1;null;9.64;5.02;1.2;3.42
286;1;null;10.9;4.5;1.62;4.78
287;1;null;10.08;4.06;1.56;4.46
288;1;null;12.52;6.3;2.38;3.84
289;1;null;8.28;6.36;1.16;0.76
290;1;null;12.06;7.92;2.56;1.58
291;1;null;12.1;5.64;2.06;4.4
292;1;null;10.68;4.4;3.14;3.14
293;1;null;20.56;2.58;8.04;9.94
294;1;null;8.34;4.02;2.64;1.68
295;1;null;20;3.28;15.3;1.42
296;1;null;14.44;4.24;6.66;3.54
297;1;null;21.06;8.44;8.78;3.84
298;1;null;13.68;5.18;5;3.5
299;1;null;18.34;5.78;7.82;4.74
300;1;null;14.16;7.36;3.04;3.76
