episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
141;1;null;8.280;2.660;3.300;2.320
142;1;null;17.680;6.400;4.080;7.200
143;1;null;16.640;7.620;1.160;7.860
144;1;null;17.700;6.900;1.200;9.600
145;1;null;15.360;5.020;1.540;8.800
146;1;null;26.420;5.700;4.440;16.280
147;1;null;14.480;7.100;2.540;4.840
148;1;null;30.661;9.200;1.620;19.840
149;1;null;17.720;6.840;4.480;6.400
150;1;null;16.780;8.460;6.360;1.960
151;1;null;23.640;9.920;3.320;10.400
152;0;DragonEscaped;9.380;9.380;0.000;0.000
153;1;null;15.720;4.820;2.300;8.600
154;1;null;9.380;5.760;1.400;2.220
155;1;null;13.840;1.880;4.440;7.520
156;1;null;7.160;2.640;0.860;3.660
157;1;null;9.700;3.380;1.000;5.320
158;1;null;16.500;4.900;1.100;10.500
159;1;null;16.140;5.200;0.620;10.320
160;1;null;16.980;5.240;7.840;3.900
161;1;null;18.760;8.560;6.160;4.040
162;1;null;17.040;6.640;2.820;7.580
163;1;null;12.140;2.920;2.000;7.220
164;1;null;18.960;11.920;0.700;6.340
165;1;null;4.460;2.420;1.220;0.820
166;1;null;15.000;1.640;0.720;12.640
167;1;null;17.600;7.840;3.460;6.300
168;1;null;11.020;7.020;2.560;1.440
169;1;null;26.300;7.980;12.500;5.820
170;1;null;17.000;10.080;0.680;6.240
171;1;null;8.860;5.580;2.700;0.580
172;1;null;23.400;3.140;2.960;17.300
173;1;null;12.720;6.020;1.420;5.280
174;1;null;5.420;1.640;1.460;2.320
175;1;null;7.080;4.820;0.900;1.360
176;1;null;14.480;6.800;3.320;4.360
177;1;null;8.120;2.580;1.700;3.840
178;1;null;30.041;6.180;2.180;21.680
179;1;null;19.760;3.200;8.520;8.040
180;1;null;12.260;6.180;0.840;5.240
181;1;null;9.760;7.700;0.880;1.180
182;1;null;13.200;6.600;1.100;5.500
183;1;null;15.360;5.480;7.800;2.080
184;0;DragonEscaped;10.680;10.680;0.000;0.000
185;0;Timer;33.521;3.520;6.540;23.460
186;1;null;13.940;10.180;1.540;2.220
187;1;null;9.160;4.920;0.540;3.700
188;1;null;26.500;6.960;1.420;18.120
189;1;null;14.060;2.400;3.180;8.480
190;0;DragonEscaped;10.240;10.240;0.000;0.000
191;1;null;30.781;9.080;4.280;17.420
192;1;null;13.660;3.920;5.860;3.880
193;0;Timer;36.961;6.960;14.120;15.880
194;1;null;17.260;5.620;3.080;8.560
195;0;Timer;37.821;7.820;1.700;28.300
196;1;null;6.180;2.640;0.680;2.860
197;1;null;12.840;6.220;0.800;5.820
198;1;null;12.000;8.540;2.120;1.340
199;1;null;23.440;9.360;1.320;12.760
200;1;null;31.321;4.200;5.500;21.620
201;1;null;6.280;2.640;2.020;1.620
202;1;null;14.640;6.980;1.440;6.220
203;0;Timer;32.661;2.660;2.440;27.560
204;1;null;14.820;6.360;2.860;5.600
205;1;null;21.600;1.360;0.920;19.320
206;1;null;25.460;8.320;5.300;11.840
207;1;null;10.840;6.460;1.100;3.280
208;1;null;12.440;8.760;0.820;2.860
209;1;null;12.520;5.760;0.480;6.280
210;1;null;23.880;6.480;0.960;16.440
211;1;null;12.740;2.860;6.220;3.660
212;1;null;19.120;7.920;1.240;9.960
213;1;null;15.440;6.920;7.260;1.260
214;1;null;11.480;7.960;2.720;0.800
215;1;null;23.900;4.820;4.880;14.200
216;1;null;11.540;7.040;3.420;1.080
217;1;null;14.880;1.880;1.000;12.000
218;1;null;13.820;8.300;3.440;2.080
219;1;null;17.820;3.140;2.220;12.460
220;1;null;11.300;8.940;0.740;1.620
221;1;null;11.900;5.780;0.920;5.200
222;1;null;9.500;3.860;0.680;4.960
223;1;null;22.000;8.180;0.720;13.100
224;1;null;10.000;4.460;1.300;4.240
225;1;null;23.700;5.340;8.560;9.800
226;1;null;12.520;5.160;5.820;1.540
227;1;null;5.740;2.460;1.120;2.160
228;1;null;13.700;7.900;2.140;3.660
229;1;null;19.740;8.640;1.780;9.320
230;1;null;13.180;7.400;1.020;4.760
231;1;null;18.580;2.520;4.940;11.120
232;1;null;18.520;9.200;2.380;6.940
233;1;null;15.600;3.740;3.300;8.560
234;1;null;14.020;8.720;1.960;3.340
235;1;null;28.920;13.040;2.360;13.520
236;1;null;7.200;3.120;3.460;0.620
237;1;null;12.960;3.440;1.000;8.520
238;1;null;11.940;4.200;3.300;4.440
239;0;DragonEscaped;9.480;9.480;0.000;0.000
240;1;null;18.260;8.840;3.840;5.580
241;1;null;21.840;7.200;1.200;13.440
242;1;null;8.920;7.000;1.000;0.920
243;1;null;19.780;12.400;3.260;4.120
244;1;null;11.060;1.560;3.280;6.220
245;1;null;19.300;7.980;0.560;10.760
246;1;null;15.560;9.420;4.280;1.860
247;1;null;19.880;5.300;3.040;11.540
248;1;null;18.040;9.760;1.280;7.000
249;1;null;14.140;7.200;2.180;4.760
250;1;null;14.640;2.660;2.920;9.060
251;1;null;11.180;3.260;6.100;1.820
252;1;null;14.860;5.540;4.040;5.280
253;1;null;7.580;4.900;0.600;2.080
254;1;null;20.400;9.620;1.640;9.140
255;1;null;24.840;5.660;0.680;18.500
256;1;null;19.720;4.880;2.080;12.760
257;1;null;11.140;5.320;1.320;4.500
258;1;null;11.540;6.380;3.760;1.400
259;1;null;13.900;6.720;3.460;3.720
260;1;null;13.680;4.920;2.520;6.240
261;1;null;24.040;4.440;1.160;18.440
262;1;null;19.360;5.060;12.460;1.840
263;1;null;9.880;3.640;2.720;3.520
264;1;null;14.040;7.200;1.100;5.740
265;1;null;15.380;7.260;4.080;4.040
266;1;null;9.360;3.400;1.700;4.260
267;1;null;15.720;6.000;4.140;5.580
268;1;null;14.280;4.780;4.840;4.660
269;1;null;7.840;3.120;1.680;3.040
270;1;null;20.100;6.980;0.980;12.140
271;1;null;14.720;6.880;1.620;6.220
272;1;null;15.160;5.980;0.320;8.860
273;1;null;12.320;5.900;0.720;5.700
274;1;null;21.520;6.200;7.820;7.500
275;1;null;11.120;3.860;1.480;5.780
276;1;null;15.500;5.680;2.720;7.100
277;1;null;12.420;4.220;2.040;6.160
278;1;null;11.540;2.640;0.520;8.380
279;1;null;10.800;4.820;3.240;2.740
280;1;null;15.360;5.500;5.720;4.140
281;1;null;10.940;4.080;1.800;5.060
282;1;null;9.360;3.240;1.600;4.520
283;1;null;12.020;10.300;1.260;0.460
284;1;null;17.960;5.200;2.480;10.280
285;1;null;14.580;6.320;3.800;4.460
286;1;null;14.120;5.940;2.180;6.000
287;0;Timer;41.461;11.460;2.120;27.880
288;1;null;12.380;6.480;0.820;5.080
289;1;null;7.360;4.540;1.900;0.920
290;1;null;20.060;6.400;1.480;12.180
291;1;null;11.180;4.760;3.760;2.660
292;1;null;14.660;5.240;8.020;1.400
293;1;null;23.960;7.180;3.520;13.260
294;1;null;28.300;1.880;6.420;20.000
295;1;null;9.180;3.960;4.400;0.820
296;1;null;25.300;1.420;2.940;20.940
297;1;null;12.080;3.940;2.820;5.320
298;1;null;11.200;7.920;2.460;0.820
299;1;null;20.700;8.720;5.500;6.480
300;1;null;11.920;6.640;3.300;1.980
