episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
18;Introvert;1;1;0;-1.000;0;23.891;1.487;4.260;7.538;1.000;0.000
18;Introvert;3;1;0;-1.000;2;30.590;1.396;3.145;3.089;1.700;8.940
19;Introvert;0;0;1;4.440;0;21.718;2.196;4.595;9.934;1.200;0.000
19;Introvert;1;1;0;-1.000;1;17.826;0.420;4.354;10.333;0.340;1.680
19;Introvert;1;1;0;-1.000;0;11.682;0.361;3.993;5.632;1.020;1.580
19;Introvert;4;0;0;-1.000;1;22.183;0.903;4.463;3.329;0.420;1.040
20;Introvert;0;0;0;-1.000;0;5.330;1.132;4.800;9.715;1.840;0.000
20;Introvert;1;1;1;0.660;2;15.567;3.000;3.523;5.600;0.200;1.640
20;Introvert;2;1;0;-1.000;0;9.657;0.340;2.655;2.318;0.320;2.460
20;Introvert;3;0;0;-1.000;2;13.318;0.510;3.146;2.541;0.000;2.720
21;Introvert;4;1;0;-1.000;2;24.163;2.599;3.486;6.214;2.800;1.840
21;Introvert;2;1;0;-1.000;1;15.864;1.520;4.715;4.471;0.720;1.220
21;Introvert;0;0;0;-1.000;0;8.712;1.498;4.814;9.057;0.120;0.000
21;Introvert;0;0;1;4.020;1;31.043;3.000;4.551;9.995;0.320;0.620
22;Introvert;0;0;0;-1.000;0;13.071;0.242;5.341;10.760;2.400;0.000
22;Introvert;2;0;0;-1.000;2;12.760;2.221;4.211;7.646;0.620;3.720
22;Introvert;3;1;0;-1.000;0;15.865;1.090;4.307;5.743;0.320;0.000
22;Introvert;1;1;1;2.039;2;15.235;3.000;4.122;11.148;0.420;3.720
23;Introvert;0;0;0;-1.000;0;25.752;0.002;4.602;8.602;4.900;0.160
23;Introvert;3;0;0;-1.000;0;26.320;2.473;4.509;4.637;0.820;0.680
23;Introvert;3;2;1;2.701;0;40.333;3.000;4.327;7.570;0.820;0.840
