episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;26.380;14.560;1.800;10.020
2;1;null;12.520;7.140;3.580;1.800
3;1;null;10.560;5.660;1.260;3.640
4;0;Timer;38.201;8.200;3.580;26.420
5;1;null;10.800;3.180;0.500;7.120
6;1;null;9.560;2.120;2.080;5.360
7;1;null;12.480;9.080;0.320;3.080
8;1;null;9.900;6.420;1.080;2.400
9;1;null;14.160;4.220;3.120;6.820
10;1;null;12.440;4.920;4.020;3.500
11;1;null;8.260;5.840;1.820;0.600
12;1;null;10.060;4.460;1.100;4.500
13;1;null;15.080;6.760;2.860;5.460
14;1;null;13.940;6.680;0.920;6.340
15;1;null;8.800;5.120;2.200;1.480
16;1;null;14.300;5.340;2.180;6.780
17;1;null;19.220;2.500;3.140;13.580
18;1;null;7.100;2.620;1.160;3.320
19;1;null;6.880;3.620;1.640;1.620
20;1;null;12.980;4.820;1.480;6.680
21;1;null;7.700;3.380;1.320;3.000
22;1;null;24.620;5.240;0.920;18.460
23;1;null;10.980;3.900;1.200;5.880
24;1;null;6.400;4.300;0.860;1.240
25;1;null;11.560;4.060;4.240;3.260
26;1;null;11.640;4.180;4.700;2.760
27;1;null;18.640;3.200;5.280;10.160
28;1;null;12.540;6.620;2.000;3.920
29;1;null;14.960;3.520;4.240;7.200
30;1;null;28.640;5.640;0.580;22.420
31;1;null;6.720;3.320;2.120;1.280
32;1;null;22.880;12.500;2.420;7.960
33;1;null;7.560;2.840;1.240;3.480
34;1;null;10.720;3.300;2.660;4.760
35;1;null;16.040;6.320;1.900;7.820
36;1;null;20.760;6.940;8.820;5.000
37;1;null;10.640;5.120;1.420;4.100
38;1;null;7.440;2.740;2.240;2.460
39;1;null;20.820;5.520;5.200;10.100
40;1;null;25.300;5.960;10.180;9.160
41;1;null;15.240;6.100;1.060;8.080
42;1;null;16.620;8.620;4.060;3.940
43;1;null;11.040;4.760;4.360;1.920
44;1;null;21.360;3.540;3.580;14.240
45;1;null;14.040;3.780;5.480;4.780
46;1;null;13.060;5.520;2.160;5.380
47;1;null;28.100;4.320;1.260;22.520
48;1;null;10.460;3.300;3.620;3.540
49;1;null;13.440;7.020;2.280;4.140
50;1;null;17.160;5.900;0.880;10.380
51;1;null;23.740;8.120;3.160;12.460
52;1;null;16.820;4.000;1.220;11.600
53;1;null;15.420;6.720;1.640;7.060
54;1;null;13.280;5.360;3.460;4.460
55;1;null;13.540;3.180;1.780;8.580
56;1;null;14.380;7.460;2.200;4.720
57;1;null;6.460;3.560;1.700;1.200
58;1;null;26.120;2.680;4.340;19.100
59;1;null;6.980;2.540;3.860;0.580
60;1;null;10.620;4.360;0.980;5.280
61;1;null;8.580;3.520;0.280;4.780
62;0;DragonEscaped;9.240;9.240;0.000;0.000
63;1;null;21.860;7.380;3.720;10.760
64;1;null;10.100;5.180;2.400;2.520
65;1;null;6.320;3.540;1.460;1.320
66;1;null;7.720;3.520;1.420;2.780
67;1;null;25.380;4.840;1.160;19.380
68;1;null;15.140;4.720;1.000;9.420
69;1;null;10.800;5.200;1.120;4.480
70;0;Timer;34.221;4.220;0.700;29.300
71;1;null;15.720;3.540;0.680;11.500
72;1;null;10.860;3.060;4.680;3.120
73;1;null;36.261;6.400;0.560;29.300
74;1;null;12.140;3.460;3.040;5.640
75;1;null;10.600;3.160;3.060;4.380
76;1;null;11.380;6.220;3.220;1.940
77;1;null;13.880;7.140;4.180;2.560
78;1;null;16.740;10.300;3.640;2.800
79;1;null;13.660;7.200;2.960;3.500
80;1;null;11.520;6.460;0.560;4.500
81;1;null;7.400;4.380;1.480;1.540
82;1;null;15.400;7.640;5.960;1.800
83;1;null;11.540;4.280;1.240;6.020
84;0;DragonEscaped;11.580;11.580;0.000;0.000
85;1;null;9.640;7.180;0.800;1.660
86;1;null;16.340;5.280;6.860;4.200
87;1;null;18.220;10.200;4.080;3.940
88;1;null;12.680;3.160;1.720;7.800
89;1;null;12.080;3.940;2.780;5.360
90;1;null;9.420;7.700;1.040;0.680
91;0;DragonEscaped;10.700;10.700;0.000;0.000
92;1;null;10.020;5.640;0.700;3.680
93;1;null;9.920;5.000;3.680;1.240
94;1;null;28.360;2.540;12.540;13.280
95;1;null;15.540;6.020;1.680;7.840
96;1;null;6.480;2.600;1.820;2.060
97;1;null;22.940;5.140;1.640;16.160
98;0;Timer;32.601;2.600;2.900;27.100
99;0;Timer;33.881;3.880;1.340;28.660
100;1;null;27.820;9.520;2.260;16.040
101;1;null;11.400;3.560;2.420;5.420
102;1;null;9.360;3.420;1.360;4.580
103;1;null;15.100;4.860;4.740;5.500
104;1;null;10.140;5.060;0.720;4.360
105;1;null;9.920;2.900;1.880;5.140
106;1;null;11.400;5.460;0.820;5.120
107;1;null;9.920;2.840;3.940;3.140
108;1;null;23.120;9.460;5.780;7.880
109;1;null;15.200;7.200;4.620;3.380
110;1;null;8.640;2.720;2.140;3.780
111;1;null;28.300;7.300;4.000;17.000
112;1;null;8.180;3.900;0.840;3.440
113;1;null;5.600;3.400;0.480;1.720
114;0;Timer;35.061;5.060;1.680;28.320
115;1;null;29.120;5.460;14.280;9.380
116;1;null;17.740;4.200;0.580;12.960
117;1;null;16.260;2.520;8.880;4.860
118;1;null;13.660;6.080;2.300;5.280
119;1;null;15.920;6.280;0.480;9.160
120;1;null;7.360;4.360;1.160;1.840
121;1;null;9.440;3.280;5.480;0.680
122;1;null;13.220;4.620;1.080;7.520
123;0;Timer;35.461;5.460;1.620;28.380
124;1;null;21.040;4.800;3.220;13.020
125;1;null;24.940;2.780;2.480;19.680
126;1;null;40.261;11.020;1.680;27.560
127;1;null;11.700;4.420;6.900;0.380
128;1;null;15.540;9.040;1.880;4.620
129;1;null;12.180;4.320;4.700;3.160
130;1;null;6.700;4.160;1.660;0.880
131;1;null;10.860;2.840;3.080;4.940
132;1;null;14.440;3.660;2.480;8.300
133;1;null;6.680;3.520;2.620;0.540
134;1;null;18.680;4.280;0.720;13.680
135;1;null;7.880;3.820;0.720;3.340
136;1;null;17.000;5.380;6.960;4.660
137;1;null;8.420;3.300;2.540;2.580
138;1;null;13.760;9.360;1.280;3.120
139;1;null;8.640;6.040;1.500;1.100
140;1;null;12.760;7.440;0.580;4.740
141;1;null;13.440;4.100;2.060;7.280
142;1;null;10.420;6.820;0.860;2.740
143;1;null;11.480;5.820;1.900;3.760
144;1;null;15.340;7.960;3.260;4.120
145;1;null;8.600;4.440;1.860;2.300
146;1;null;17.560;3.440;7.880;6.240
147;1;null;10.560;7.420;1.760;1.380
148;1;null;8.440;2.240;2.540;3.660
149;1;null;20.660;6.900;1.140;12.620
150;1;null;5.940;2.480;2.340;1.120
151;1;null;4.620;2.800;1.340;0.480
152;0;Timer;36.301;6.300;5.960;24.040
153;1;null;11.520;4.840;1.020;5.660
154;1;null;21.200;2.460;4.200;14.540
155;1;null;6.000;3.440;1.000;1.560
156;1;null;11.920;6.860;1.440;3.620
157;1;null;12.640;4.540;2.460;5.640
158;1;null;10.160;3.940;4.780;1.440
159;1;null;11.800;2.200;1.140;8.460
160;1;null;22.020;3.840;0.840;17.340
161;1;null;16.860;5.060;2.020;9.780
162;1;null;10.280;4.000;4.560;1.720
163;1;null;10.200;3.400;0.560;6.240
164;1;null;10.460;3.460;1.220;5.780
165;1;null;8.380;5.880;0.660;1.840
166;1;null;21.920;6.920;0.860;14.140
167;1;null;8.800;4.760;3.420;0.620
168;1;null;9.640;4.240;3.480;1.920
169;1;null;12.360;2.240;2.520;7.600
170;1;null;14.080;7.680;3.220;3.180
171;1;null;12.620;6.440;1.440;4.740
172;1;null;8.720;4.420;1.520;2.780
173;1;null;18.100;6.320;1.520;10.260
174;1;null;30.261;2.760;20.900;6.600
175;1;null;9.580;6.020;0.620;2.940
176;1;null;11.280;5.220;2.460;3.600
177;1;null;7.300;4.380;0.780;2.140
178;1;null;23.720;1.280;4.460;17.980
179;1;null;9.100;5.660;1.740;1.700
180;1;null;7.480;5.560;1.260;0.660
181;1;null;6.020;2.580;0.760;2.680
182;1;null;15.000;6.160;0.640;8.200
183;1;null;12.760;3.520;1.200;8.040
184;1;null;10.560;2.940;1.300;6.320
185;1;null;14.860;4.160;2.460;8.240
186;1;null;11.100;4.160;0.540;6.400
187;1;null;9.080;2.040;2.940;4.100
188;1;null;23.680;11.120;3.600;8.960
189;1;null;36.121;8.440;1.260;26.420
190;1;null;13.900;4.800;3.220;5.880
191;1;null;12.820;3.100;1.840;7.880
192;1;null;4.680;2.320;0.980;1.380
