episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
15;Intro_Leader;4;1;1;2.200;0;22.003;2.599;4.343;3.972;0.360;0.900
15;Intro_Balanced1;2;1;0;-1.000;0;20.820;1.067;3.410;7.207;0.120;1.040
15;Intro_Balanced2;0;0;0;-1.000;0;9.746;1.273;4.053;7.754;0.720;0.000
15;Intro_Iso;0;0;0;-1.000;0;10.764;1.480;3.762;11.031;0.420;0.140
16;Intro_Leader;2;1;0;-1.000;3;20.696;0.206;3.689;7.238;2.160;4.840
16;Intro_Balanced1;2;1;0;-1.000;0;16.823;0.761;3.679;6.222;1.320;2.620
16;Intro_Balanced2;0;0;0;-1.000;1;17.276;1.123;3.581;8.862;1.420;3.600
16;Intro_Iso;2;0;1;2.181;2;31.076;1.904;3.514;6.366;0.420;3.860
17;Intro_Leader;3;2;0;-1.000;3;41.266;0.767;3.356;6.124;0.940;7.420
17;Intro_Balanced1;0;0;0;-1.000;0;13.668;0.376;4.142;9.025;1.620;0.000
17;Intro_Balanced2;3;0;0;-1.000;2;15.574;3.000;3.942;2.523;0.220;5.300
17;Intro_Iso;0;0;1;3.140;1;34.426;3.000;4.329;10.344;0.920;2.120
18;Intro_Leader;2;0;0;-1.000;0;21.038;2.582;3.361;4.436;0.700;1.760
18;Intro_Balanced1;3;1;1;1.160;0;19.490;3.000;3.489;3.714;0.120;1.660
18;Intro_Balanced2;1;1;0;-1.000;0;15.456;0.050;3.384;6.682;0.380;0.820
18;Intro_Iso;0;0;0;-1.000;0;8.087;0.920;4.824;8.035;0.620;0.000
19;Intro_Leader;6;2;1;1.641;1;19.936;2.599;3.709;2.597;0.500;1.380
19;Intro_Balanced1;0;0;0;-1.000;0;13.480;3.000;4.280;5.847;0.120;0.000
19;Intro_Balanced2;0;0;0;-1.000;1;11.370;0.009;4.898;9.400;0.260;1.380
19;Intro_Iso;0;0;0;-1.000;0;17.196;1.327;5.573;5.644;0.120;0.000
20;Intro_Leader;4;1;1;1.481;1;26.866;2.599;4.447;4.390;0.780;3.160
20;Intro_Balanced1;0;0;0;-1.000;0;17.344;0.064;5.377;12.210;1.040;1.020
20;Intro_Balanced2;2;1;0;-1.000;1;15.983;2.313;6.246;4.328;0.720;1.620
20;Intro_Iso;0;0;0;-1.000;0;22.942;1.006;4.715;10.567;0.320;0.880
21;Intro_Leader;2;2;1;1.321;3;18.919;2.599;3.151;4.281;0.820;3.580
21;Intro_Balanced1;2;0;0;-1.000;3;14.771;0.824;3.182;6.527;0.120;2.420
21;Intro_Balanced2;2;0;0;-1.000;2;13.553;1.898;4.711;4.575;0.520;1.920
21;Intro_Iso;0;0;0;-1.000;2;7.885;0.159;4.475;9.600;0.720;0.760
22;Intro_Leader;3;1;0;-1.000;6;43.971;1.069;3.647;7.587;1.060;10.240
22;Intro_Balanced1;1;0;0;-1.000;0;31.396;1.620;5.347;6.512;1.320;0.860
22;Intro_Balanced2;0;0;1;0.922;7;37.860;1.322;3.894;10.281;0.420;8.160
22;Intro_Iso;2;1;0;-1.000;1;25.350;2.125;4.123;8.863;1.120;2.500
23;Intro_Leader;1;1;1;1.200;1;29.891;2.599;3.298;7.098;0.820;1.500
23;Intro_Balanced1;1;1;0;-1.000;2;17.351;2.620;3.026;5.234;0.720;3.580
23;Intro_Balanced2;2;0;0;-1.000;1;15.181;3.000;4.460;5.232;0.620;3.560
23;Intro_Iso;2;0;0;-1.000;0;16.036;1.031;3.961;5.018;0.620;1.480
24;Intro_Leader;4;2;1;0.859;2;19.373;2.599;2.081;3.372;0.580;1.780
24;Intro_Balanced1;1;0;0;-1.000;4;12.453;0.673;1.942;4.014;0.220;4.760
24;Intro_Balanced2;0;0;0;-1.000;2;16.798;1.240;3.300;5.695;0.320;0.840
24;Intro_Iso;1;0;0;-1.000;4;9.610;1.352;2.478;4.751;0.420;4.760
25;Intro_Leader;3;1;1;4.241;0;26.759;2.599;5.619;5.877;1.000;0.000
25;Intro_Balanced1;0;0;0;-1.000;0;14.574;0.372;4.015;8.412;0.720;2.640
25;Intro_Balanced2;0;0;0;-1.000;1;17.813;3.000;3.799;6.722;0.420;3.940
25;Intro_Iso;3;1;0;-1.000;1;20.493;0.912;3.872;4.324;0.520;1.300
26;Intro_Leader;4;1;1;4.701;1;29.719;2.599;3.576;4.500;0.600;1.680
26;Intro_Balanced1;0;0;0;-1.000;0;21.265;0.349;3.050;6.253;0.220;1.900
26;Intro_Balanced2;0;0;0;-1.000;1;13.925;1.189;4.018;10.105;1.040;2.160
26;Intro_Iso;2;1;0;-1.000;0;16.112;0.377;4.326;8.321;0.220;0.360
27;Intro_Leader;2;1;0;-1.000;5;45.049;2.599;3.379;5.960;0.740;6.840
27;Intro_Balanced1;0;0;1;5.280;7;31.110;3.000;3.271;6.583;0.320;8.780
27;Intro_Balanced2;3;1;0;-1.000;3;23.495;0.737;3.203;5.628;0.720;7.220
27;Intro_Iso;1;0;0;-1.000;7;23.138;1.947;3.547;5.066;1.020;9.280
28;Intro_Leader;4;2;0;-1.000;2;23.211;2.599;3.562;6.591;0.980;3.180
28;Intro_Balanced1;1;0;1;2.001;1;23.416;1.940;3.566;7.922;0.360;2.240
28;Intro_Balanced2;1;0;0;-1.000;0;21.859;0.002;4.225;8.963;0.420;2.320
28;Intro_Iso;0;0;0;-1.000;1;11.630;0.311;5.130;11.090;1.020;2.120
29;Intro_Leader;1;0;0;-1.000;4;36.679;0.066;3.108;6.481;0.500;4.460
29;Intro_Balanced1;0;0;0;-1.000;1;20.999;0.460;3.557;12.249;1.000;2.300
29;Intro_Balanced2;0;0;0;-1.000;1;18.818;0.536;2.972;7.784;0.720;1.420
29;Intro_Iso;5;2;1;4.239;2;27.207;1.909;3.579;4.561;0.400;2.440
30;Intro_Leader;6;2;0;-1.000;1;59.498;1.726;3.318;3.783;1.280;1.180
30;Intro_Balanced1;0;0;0;-1.000;1;33.418;2.324;4.203;7.666;0.820;3.340
30;Intro_Balanced2;0;0;0;-1.000;0;38.044;3.000;3.715;4.564;1.420;1.760
30;Intro_Iso;0;0;1;0.580;0;42.793;2.777;3.319;5.309;1.080;3.160
31;Intro_Leader;3;1;1;2.121;0;17.677;2.599;3.487;5.667;0.300;1.060
31;Intro_Balanced1;2;0;0;-1.000;0;15.724;2.117;3.006;2.594;0.200;0.900
31;Intro_Balanced2;0;0;0;-1.000;0;15.599;0.338;3.341;7.804;0.400;0.260
31;Intro_Iso;1;1;0;-1.000;0;18.353;2.194;2.968;5.673;0.300;0.740
32;Intro_Leader;4;1;0;-1.000;6;46.194;2.599;3.789;7.902;1.240;5.980
32;Intro_Balanced1;0;0;0;-1.000;3;20.055;0.604;3.565;11.498;1.720;2.820
32;Intro_Balanced2;0;0;0;-1.000;2;20.708;0.037;3.624;10.486;1.620;1.540
32;Intro_Iso;2;1;1;2.420;1;30.803;2.771;4.316;6.732;1.500;1.980
33;Intro_Leader;1;1;1;1.239;2;18.651;2.599;3.048;5.771;0.180;4.980
33;Intro_Balanced1;4;0;0;-1.000;1;15.329;0.676;3.273;3.298;0.300;4.480
33;Intro_Balanced2;1;1;0;-1.000;0;13.331;0.209;3.115;2.859;0.700;1.780
33;Intro_Iso;0;0;0;-1.000;1;7.205;1.255;4.950;8.645;0.200;1.240
34;Intro_Leader;2;1;1;2.661;1;30.408;2.599;2.924;6.734;0.380;2.440
34;Intro_Balanced1;1;1;0;-1.000;5;17.654;1.385;2.408;6.087;0.520;5.340
34;Intro_Balanced2;2;0;0;-1.000;4;19.458;1.062;2.703;4.468;0.220;5.260
34;Intro_Iso;1;0;0;-1.000;6;12.603;2.053;2.394;4.332;0.320;7.240
35;Intro_Leader;2;1;1;1.893;7;39.517;2.599;3.326;5.692;0.320;7.440
35;Intro_Balanced1;0;0;0;-1.000;0;18.957;0.380;4.349;7.957;0.820;0.000
35;Intro_Balanced2;4;1;0;-1.000;7;21.615;0.313;3.916;5.710;0.820;7.440
35;Intro_Iso;0;0;0;-1.000;0;24.130;0.213;3.970;7.238;0.320;0.000
36;Intro_Leader;2;1;1;8.820;8;43.273;2.599;3.636;8.142;0.560;6.480
36;Intro_Balanced1;1;0;0;-1.000;3;19.196;0.209;4.536;7.299;0.920;7.300
36;Intro_Balanced2;3;1;0;-1.000;9;28.202;2.094;3.734;5.489;0.820;8.500
36;Intro_Iso;0;0;0;-1.000;2;22.852;0.002;5.403;10.299;1.500;1.680
37;Intro_Leader;6;2;1;1.421;0;27.544;2.599;4.086;4.667;0.600;1.480
37;Intro_Balanced1;0;0;0;-1.000;0;14.153;0.035;3.873;8.302;0.540;0.000
37;Intro_Balanced2;0;0;0;-1.000;0;12.535;0.115;4.321;9.469;1.020;1.200
37;Intro_Iso;0;0;0;-1.000;0;17.698;0.439;5.344;7.093;0.360;0.280
38;Intro_Leader;2;1;0;-1.000;0;19.142;2.599;3.036;6.532;0.400;1.200
38;Intro_Balanced1;1;1;0;-1.000;1;15.864;0.940;3.559;7.476;0.320;1.400
38;Intro_Balanced2;1;0;0;-1.000;0;8.009;0.636;3.811;5.407;0.620;0.860
38;Intro_Iso;2;0;1;2.239;1;18.371;3.000;3.555;5.415;0.220;1.740
39;Intro_Leader;3;0;1;5.200;4;49.984;2.599;3.296;5.503;0.400;4.660
39;Intro_Balanced1;0;0;0;-1.000;0;22.378;3.000;4.580;7.043;0.720;0.540
39;Intro_Balanced2;2;1;0;-1.000;4;31.076;1.969;3.984;6.125;1.220;4.360
39;Intro_Iso;1;1;0;-1.000;0;23.879;1.824;4.180;5.778;1.120;0.840
40;Intro_Leader;3;1;1;10.180;1;54.521;2.599;3.917;5.824;1.360;2.820
40;Intro_Balanced1;1;0;0;-1.000;1;31.346;1.315;3.672;4.996;0.920;3.260
40;Intro_Balanced2;2;1;0;-1.000;2;23.937;0.151;3.724;7.465;1.320;5.500
40;Intro_Iso;0;0;0;-1.000;0;25.281;0.633;3.891;7.948;1.620;0.540
41;Intro_Leader;4;1;0;-1.000;8;32.801;2.599;2.685;6.365;0.740;7.320
41;Intro_Balanced1;0;0;0;-1.000;2;17.136;3.000;3.846;7.029;0.720;1.120
41;Intro_Balanced2;1;1;1;1.062;7;26.330;3.000;2.571;6.867;0.460;8.960
41;Intro_Iso;1;0;0;-1.000;7;27.017;0.705;3.346;7.910;0.320;5.540
42;Intro_Leader;4;2;1;4.059;1;39.820;2.599;4.176;6.235;0.860;3.400
42;Intro_Balanced1;0;0;0;-1.000;0;19.140;2.456;4.537;9.038;0.920;0.200
42;Intro_Balanced2;0;0;0;-1.000;0;18.070;0.402;4.888;9.114;0.420;0.200
42;Intro_Iso;2;0;0;-1.000;1;26.213;0.598;4.558;6.654;0.620;3.400
43;Intro_Leader;4;1;0;-1.000;0;29.017;0.004;3.617;4.320;0.960;0.240
43;Intro_Balanced1;1;0;0;-1.000;1;22.004;1.790;3.758;5.044;0.020;6.040
43;Intro_Balanced2;0;0;0;-1.000;0;13.833;1.690;5.348;8.458;0.620;0.000
43;Intro_Iso;1;1;1;4.359;1;21.595;2.061;4.075;6.074;0.020;5.800
44;Intro_Leader;0;0;1;3.580;1;51.895;2.599;3.737;8.166;0.420;4.200
44;Intro_Balanced1;1;0;0;-1.000;4;25.947;0.459;4.471;5.559;0.920;4.620
44;Intro_Balanced2;2;1;0;-1.000;5;33.945;2.076;3.418;5.368;0.920;9.520
44;Intro_Iso;3;1;0;-1.000;0;23.308;1.915;4.206;7.008;1.320;0.700
45;Intro_Leader;2;1;1;5.479;3;30.829;2.134;4.307;10.403;0.300;2.480
45;Intro_Balanced1;0;0;0;-1.000;0;21.417;1.611;3.883;5.555;0.620;0.860
45;Intro_Balanced2;0;0;0;-1.000;0;14.423;2.770;4.058;7.828;0.620;2.040
45;Intro_Iso;4;1;0;-1.000;3;21.456;0.800;4.052;3.663;0.820;3.700
46;Intro_Leader;2;1;0;-1.000;4;22.313;1.219;3.032;7.067;0.580;9.740
46;Intro_Balanced1;1;0;0;-1.000;4;20.621;0.874;2.721;6.120;0.720;9.740
46;Intro_Balanced2;1;0;0;-1.000;3;24.528;2.109;3.415;8.753;0.220;4.240
46;Intro_Iso;2;1;1;2.150;3;25.425;3.000;2.913;6.934;0.220;4.240
47;Intro_Leader;5;2;0;-1.000;3;51.644;2.599;3.617;5.583;1.080;10.140
47;Intro_Balanced1;1;0;0;-1.000;3;30.168;0.779;4.219;6.403;1.620;4.900
47;Intro_Balanced2;0;0;0;-1.000;1;31.067;0.814;4.697;9.367;1.320;1.920
47;Intro_Iso;0;0;1;1.259;5;47.378;3.000;3.616;7.955;0.620;10.320
48;Intro_Leader;1;1;1;3.620;2;26.742;2.599;2.627;6.024;0.400;1.960
48;Intro_Balanced1;0;0;0;-1.000;0;10.012;3.000;2.660;5.792;0.020;1.580
48;Intro_Balanced2;1;0;0;-1.000;4;16.132;0.359;2.289;5.484;0.220;3.940
