episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
16;Introvert;0;0;1;3.800;4;32.104;2.438;3.397;6.426;1.380;8.900
16;Conscientious;0;0;0;-1.000;6;22.109;0.315;2.849;6.413;2.220;11.920
16;NonConscientious;3;1;0;-1.000;4;20.942;1.641;2.692;3.647;1.320;8.840
16;Agreeable;3;1;0;-1.000;8;22.273;0.193;2.761;3.160;1.020;9.380
17;Introvert;0;0;0;-1.000;2;31.760;0.193;4.631;7.379;8.580;3.240
17;Conscientious;0;0;0;-1.000;2;41.455;2.422;3.199;6.662;1.720;3.900
17;NonConscientious;2;1;0;-1.000;1;39.584;0.323;3.413;4.717;1.820;4.820
17;Agreeable;4;1;0;-1.000;1;26.567;0.037;3.808;6.083;2.580;3.060
18;Introvert;1;0;1;2.540;1;29.186;0.031;4.110;6.660;9.340;1.440
18;Conscientious;0;0;0;-1.000;2;31.574;2.110;4.067;6.334;2.220;4.100
18;NonConscientious;4;1;0;-1.000;2;33.672;1.639;3.260;4.466;2.620;3.340
18;Agreeable;1;1;0;-1.000;5;44.644;2.352;3.300;5.294;1.520;8.240
19;Introvert;0;0;1;3.441;0;21.880;1.414;3.550;6.615;1.260;1.080
19;Conscientious;0;0;0;-1.000;0;16.110;0.889;4.244;8.996;0.720;0.000
19;NonConscientious;5;2;0;-1.000;1;20.018;0.030;3.047;3.103;0.280;7.540
19;Agreeable;1;0;0;-1.000;1;14.896;0.361;2.451;4.822;0.320;8.620
20;Introvert;4;2;1;2.160;1;19.290;0.474;4.513;5.609;0.900;1.980
20;Conscientious;0;0;0;-1.000;1;20.278;0.250;3.884;10.413;0.520;3.120
20;NonConscientious;0;0;0;-1.000;1;17.977;0.108;4.234;9.491;0.320;3.120
20;Agreeable;2;0;0;-1.000;1;21.052;1.157;3.583;3.893;0.520;1.980
21;Introvert;0;0;0;-1.000;2;21.269;1.458;4.045;7.119;2.820;1.740
21;Conscientious;0;0;1;9.220;1;24.871;3.000;3.867;6.377;1.220;1.200
21;NonConscientious;2;1;0;-1.000;1;24.592;1.459;2.991;4.740;0.620;1.820
21;Agreeable;4;1;0;-1.000;2;20.888;0.653;3.243;3.926;0.620;2.360
22;Introvert;4;2;1;1.740;4;22.487;1.982;3.286;4.102;0.200;2.820
22;Conscientious;1;0;0;-1.000;4;17.677;1.822;2.646;3.257;0.320;4.760
22;NonConscientious;1;0;0;-1.000;2;18.924;0.274;2.710;4.087;0.520;4.460
22;Agreeable;0;0;0;-1.000;0;15.777;0.731;4.987;7.580;0.220;0.000
23;Introvert;3;1;1;3.322;2;32.021;2.065;3.985;7.914;1.420;1.460
23;Conscientious;0;0;0;-1.000;0;11.083;0.904;4.678;8.594;1.520;0.000
23;NonConscientious;0;0;0;-1.000;0;19.209;0.373;3.342;6.627;0.620;1.500
23;Agreeable;3;1;0;-1.000;2;24.390;0.369;3.599;5.950;0.520;1.960
24;Introvert;1;0;1;3.922;2;30.977;2.599;3.690;7.829;1.420;2.540
24;Conscientious;0;0;0;-1.000;0;16.044;1.016;3.142;4.780;0.520;0.260
24;NonConscientious;1;0;0;-1.000;4;21.119;0.517;2.520;5.262;0.520;6.180
24;Agreeable;4;2;0;-1.000;2;15.121;0.651;2.560;4.641;0.720;5.220
25;Introvert;0;0;1;0.960;1;11.182;1.487;3.606;5.893;0.000;0.700
25;Conscientious;0;0;0;-1.000;0;18.215;1.019;4.203;10.405;0.020;0.460
25;NonConscientious;1;0;0;-1.000;1;11.107;0.526;2.727;3.116;0.420;3.540
25;Agreeable;5;2;0;-1.000;2;9.527;0.566;3.059;2.188;0.220;3.780
26;Introvert;2;1;1;1.500;2;31.838;0.015;3.934;8.421;7.300;4.700
26;Conscientious;1;0;0;-1.000;7;36.864;1.518;2.933;4.684;2.920;16.720
26;NonConscientious;1;0;0;-1.000;7;36.256;1.814;3.441;4.653;2.420;16.000
26;Agreeable;2;1;0;-1.000;8;37.160;0.744;2.917;5.552;1.920;10.300
27;Introvert;0;0;0;-1.000;0;13.632;0.988;3.707;7.369;2.900;0.000
27;Conscientious;3;1;1;3.520;1;25.464;3.000;3.448;3.813;0.820;2.040
27;NonConscientious;0;0;0;-1.000;1;20.709;1.225;3.395;5.303;0.120;4.260
27;Agreeable;3;1;0;-1.000;2;18.589;2.769;2.850;2.739;0.620;5.680
28;Introvert;1;0;0;-1.000;0;19.836;0.015;3.850;6.571;3.360;0.520
28;Conscientious;0;0;1;0.780;1;36.689;2.405;3.550;8.150;0.420;1.840
28;NonConscientious;1;0;0;-1.000;4;30.331;1.300;2.903;7.130;0.720;5.680
28;Agreeable;4;2;0;-1.000;3;24.625;0.004;2.993;4.063;1.340;5.380
29;Introvert;0;0;0;-1.000;0;13.808;1.817;4.556;9.742;1.820;1.200
