episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
141;1;null;11.820;6.100;1.040;4.680
142;1;null;9.500;6.640;1.620;1.240
143;1;null;7.340;3.660;3.140;0.540
144;1;null;11.800;3.300;2.260;6.240
145;1;null;7.740;4.280;1.800;1.660
146;1;null;13.800;2.860;3.600;7.340
147;1;null;26.340;9.000;1.480;15.860
148;1;null;14.520;2.060;3.840;8.620
149;1;null;13.040;5.660;3.360;4.020
150;1;null;12.840;4.960;2.740;5.140
151;1;null;10.740;3.140;1.660;5.940
152;1;null;22.000;3.060;5.040;13.900
153;1;null;28.260;3.560;22.560;2.140
154;1;null;10.020;4.000;1.660;4.360
155;1;null;8.140;4.200;2.360;1.580
156;1;null;12.980;4.180;6.000;2.800
157;1;null;20.760;8.300;0.620;11.840
158;1;null;14.720;1.920;2.620;10.180
159;0;DragonEscaped;8.380;8.380;0.000;0.000
160;1;null;9.700;3.920;4.100;1.680
161;0;Timer;32.941;2.940;2.500;27.500
162;0;DragonEscaped;8.920;8.920;0.000;0.000
163;1;null;19.920;2.640;5.980;11.300
164;1;null;11.720;4.580;2.560;4.580
165;1;null;12.360;6.060;3.060;3.240
166;0;Timer;33.761;3.760;3.100;26.900
167;1;null;4.240;3.180;0.380;0.680
168;1;null;26.940;3.760;1.140;22.040
169;1;null;20.820;2.480;7.240;11.100
170;0;DragonEscaped;10.140;10.140;0.000;0.000
171;1;null;33.661;4.360;1.200;28.100
172;0;DragonEscaped;8.400;8.400;0.000;0.000
173;1;null;22.740;4.880;15.300;2.560
174;1;null;13.340;3.040;0.860;9.440
175;1;null;10.760;5.360;1.100;4.300
176;1;null;7.640;4.340;1.140;2.160
177;1;null;19.720;4.200;4.240;11.280
178;1;null;14.280;7.760;1.980;4.540
179;1;null;8.960;3.980;4.240;0.740
180;1;null;14.300;7.000;4.460;2.840
181;1;null;12.000;2.040;3.220;6.740
182;1;null;11.940;3.780;1.500;6.660
183;1;null;28.720;4.420;0.980;23.320
184;0;DragonEscaped;10.220;10.220;0.000;0.000
185;0;Timer;36.021;6.020;1.280;28.720
186;1;null;12.620;4.640;3.440;4.540
187;1;null;10.280;2.280;0.560;7.440
188;1;null;12.420;1.740;0.720;9.960
189;0;Timer;39.901;9.900;2.460;27.540
190;1;null;16.920;5.180;2.460;9.280
191;1;null;15.220;5.840;1.600;7.780
192;0;Timer;35.041;5.040;2.520;27.480
193;0;DragonEscaped;10.640;10.640;0.000;0.000
194;0;Timer;34.621;4.620;30.001;0.000
195;1;null;36.321;8.020;7.740;20.560
196;1;null;27.100;3.300;0.500;23.300
197;1;null;24.180;6.660;3.040;14.480
198;1;null;15.460;3.240;1.520;10.700
199;1;null;12.280;6.880;3.160;2.240
200;1;null;16.620;4.360;1.600;10.660
201;1;null;13.580;3.040;4.760;5.780
202;1;null;14.140;8.140;3.060;2.940
203;0;Timer;35.461;5.460;2.500;27.500
204;1;null;10.380;3.440;2.840;4.100
205;0;Timer;32.841;2.840;4.000;26.000
206;1;null;14.540;9.240;2.080;3.220
207;1;null;8.020;4.440;2.560;1.020
208;1;null;13.760;6.320;2.740;4.700
209;1;null;19.240;10.640;0.960;7.640
210;1;null;17.860;4.400;4.280;9.180
211;1;null;12.220;4.480;3.040;4.700
212;1;null;14.300;4.920;3.360;6.020
213;0;DragonEscaped;8.520;8.520;0.000;0.000
214;1;null;31.101;3.540;22.760;4.800
215;1;null;14.080;3.180;4.940;5.960
216;1;null;11.660;5.940;1.700;4.020
217;1;null;14.360;7.680;1.120;5.560
218;0;DragonEscaped;8.840;8.840;0.000;0.000
219;1;null;13.320;4.840;3.280;5.200
220;1;null;10.100;3.660;2.480;3.960
221;1;null;12.600;6.140;3.100;3.360
222;1;null;10.020;4.160;0.260;5.600
223;1;null;26.080;7.960;12.360;5.760
224;1;null;20.420;4.640;4.160;11.620
225;1;null;16.760;5.040;2.620;9.100
226;1;null;33.721;9.960;1.160;22.600
227;1;null;9.700;3.640;1.420;4.640
228;0;Timer;34.061;4.060;17.640;12.360
229;1;null;17.800;4.960;7.460;5.380
230;1;null;25.920;4.480;13.780;7.660
231;1;null;22.700;4.320;2.560;15.820
232;0;DragonEscaped;11.480;11.480;0.000;0.000
233;1;null;14.480;2.740;9.780;1.960
234;1;null;16.100;7.540;0.880;7.680
235;1;null;7.400;2.320;1.960;3.120
236;1;null;6.540;4.400;1.080;1.060
237;1;null;21.560;3.100;10.680;7.780
238;1;null;9.340;3.060;0.500;5.780
239;1;null;6.460;3.320;1.500;1.640
240;1;null;10.760;5.040;5.080;0.640
