episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;3;1;0;-1.000;6;13.632;1.135;2.628;3.981;1.760;6.780
1;Agreeable;1;1;0;-1.000;6;17.326;1.755;2.805;6.108;0.740;5.040
1;Conscientious;2;0;1;2.202;3;32.824;2.822;3.151;7.762;0.120;1.880
1;Neurotic;0;0;0;-1.000;1;15.050;0.881;3.703;10.135;0.420;2.220
2;Extrovert;0;0;0;-1.000;12;19.645;1.114;2.428;7.506;5.040;10.520
2;Agreeable;3;0;0;-1.000;14;26.122;0.333;2.033;4.431;1.320;13.800
2;Conscientious;2;1;1;7.621;12;40.818;1.101;2.580;6.152;0.320;8.660
2;Neurotic;1;1;0;-1.000;4;14.090;0.013;2.548;5.422;2.120;2.540
3;Extrovert;0;0;0;-1.000;8;16.356;0.576;3.993;13.623;2.200;7.640
3;Agreeable;4;1;0;-1.000;5;13.179;0.951;4.940;2.678;0.220;2.900
3;Conscientious;2;1;1;4.020;5;20.843;3.000;4.156;4.434;0.220;2.900
3;Neurotic;0;0;0;-1.000;8;12.927;0.048;4.017;12.904;1.540;7.640
4;Extrovert;0;0;0;-1.000;6;21.189;1.899;3.447;4.652;2.920;6.000
4;Agreeable;2;0;0;-1.000;4;25.578;0.105;2.992;7.703;0.720;6.780
4;Conscientious;4;2;1;2.380;5;36.250;3.000;2.633;7.035;0.520;8.740
4;Neurotic;0;0;0;-1.000;1;15.550;0.084;4.202;11.660;1.580;1.500
5;Extrovert;0;0;0;-1.000;5;23.438;2.495;3.341;9.313;5.740;9.160
5;Agreeable;2;1;0;-1.000;9;28.734;1.155;3.195;6.526;0.820;11.480
5;Conscientious;2;0;1;16.501;2;57.851;3.000;3.268;6.400;0.120;2.260
5;Neurotic;2;1;0;-1.000;2;18.578;1.388;4.039;3.962;2.620;2.460
6;Extrovert;2;1;0;-1.000;12;28.081;0.072;2.560;4.959;4.460;14.640
6;Agreeable;3;1;0;-1.000;8;32.067;1.065;2.515;4.580;1.900;13.660
6;Conscientious;1;0;1;18.280;10;52.604;3.000;2.632;4.844;0.200;14.280
6;Neurotic;0;0;0;-1.000;0;18.787;0.921;4.721;9.026;3.000;0.000
7;Extrovert;0;0;0;-1.000;12;14.975;1.042;3.311;6.193;1.520;8.800
7;Agreeable;3;1;0;-1.000;13;23.958;0.100;2.974;6.098;0.420;9.260
7;Conscientious;3;1;1;4.459;5;36.113;3.000;3.227;7.766;0.120;5.160
7;Neurotic;0;0;0;-1.000;0;18.089;1.355;4.870;9.700;1.620;1.220
8;Extrovert;0;0;0;-1.000;1;12.137;0.680;3.467;6.707;1.180;3.160
8;Agreeable;3;1;0;-1.000;1;14.432;1.579;3.047;4.257;0.620;3.160
8;Conscientious;0;0;1;1.879;0;18.853;3.000;3.722;7.600;0.120;0.000
8;Neurotic;3;1;0;-1.000;0;11.512;0.548;3.306;4.984;0.420;0.000
