episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents;
1;Extrovert;0;0;0;-1.000;6;12.552;0.790;2.529;9.719;1.420;6.560
1;Introvert;0;0;1;5.873;9;18.472;3.000;2.639;9.648;0.120;6.140
1;NonConscientious;6;2;0;-1.000;0;16.749;2.590;3.929;3.906;0.220;0.000
1;Neurotic;0;0;0;-1.000;7;14.316;1.138;2.426;8.962;0.140;7.860
2;Extrovert;0;0;0;-1.000;2;18.775;1.222;2.586;7.929;1.400;2.920
2;Introvert;5;1;1;4.952;3;31.244;2.906;3.272;6.373;0.020;3.780
2;NonConscientious;1;1;0;-1.000;3;23.541;0.656;2.960;7.531;0.320;3.780
2;Neurotic;0;0;0;-1.000;0;9.913;0.659;3.760;9.696;1.320;0.900
3;Extrovert;0;0;0;-1.000;4;13.975;0.205;2.464;8.735;2.040;6.580
3;Introvert;6;2;1;3.814;0;30.675;3.000;3.344;4.421;0.620;0.000
3;NonConscientious;0;0;0;-1.000;6;17.912;2.079;2.286;6.973;0.420;6.660
3;Neurotic;0;0;0;-1.000;6;16.735;2.003;2.026;6.287;0.720;8.600
4;Extrovert;0;0;0;-1.000;2;14.842;0.044;3.512;7.984;1.600;1.800
4;Introvert;6;2;1;1.466;0;19.632;2.651;3.194;3.370;0.220;1.460
4;NonConscientious;0;0;0;-1.000;2;11.472;1.459;2.695;4.808;0.020;3.220
4;Neurotic;0;0;0;-1.000;0;12.426;0.928;3.124;8.107;0.220;0.000
5;Extrovert;0;0;0;-1.000;1;13.315;0.323;2.808;7.468;0.740;2.360
5;Introvert;0;0;1;3.709;0;14.322;1.114;3.130;7.115;0.120;0.000
5;NonConscientious;6;2;0;-1.000;1;9.117;2.385;2.636;2.956;0.120;2.800
5;Neurotic;0;0;0;-1.000;0;6.049;0.134;3.228;3.752;0.120;0.440
6;Extrovert;0;0;0;-1.000;1;9.603;0.063;4.070;11.298;1.800;4.880
6;Introvert;5;2;1;1.997;3;22.365;2.875;3.860;3.415;0.120;2.400
6;NonConscientious;0;0;0;-1.000;1;8.258;0.705;3.999;11.589;0.420;4.880
6;Neurotic;1;0;0;-1.000;3;10.628;0.852;4.874;1.842;0.700;2.400
7;Extrovert;0;0;0;-1.000;0;14.143;1.660;2.589;3.957;1.720;1.380
7;Introvert;4;2;1;2.285;4;20.490;3.000;2.686;4.196;0.220;4.440
7;NonConscientious;2;0;0;-1.000;4;18.655;0.567;2.580;3.680;0.220;4.580
7;Neurotic;0;0;0;-1.000;0;18.600;0.030;4.462;10.195;0.500;0.000
8;Extrovert;0;0;0;-1.000;9;18.792;0.204;3.292;4.535;2.740;8.580
8;Introvert;3;1;1;2.489;3;31.193;3.000;3.594;9.575;0.420;3.940
8;NonConscientious;3;1;0;-1.000;5;22.306;2.245;3.774;9.440;0.520;3.120
8;Neurotic;0;0;0;-1.000;1;13.757;0.164;3.470;8.617;0.620;1.900
9;Extrovert;0;0;0;-1.000;2;12.470;0.003;2.187;5.143;1.100;5.360
9;Introvert;5;2;1;2.994;2;23.624;3.000;2.901;3.879;0.220;1.820
9;NonConscientious;1;0;0;-1.000;4;17.203;1.081;2.643;6.865;0.120;5.360
9;Neurotic;0;0;0;-1.000;0;12.749;0.531;3.314;4.238;0.820;0.000
10;Extrovert;0;0;0;-1.000;4;12.054;0.252;2.501;8.401;2.580;5.400
10;Introvert;5;1;1;2.760;1;28.708;2.140;2.889;4.901;0.220;2.260
10;NonConscientious;1;1;0;-1.000;1;20.767;0.616;2.609;6.704;0.820;2.820
10;Neurotic;0;0;0;-1.000;4;12.049;0.962;2.569;8.265;0.820;5.960
11;Extrovert;0;0;0;-1.000;2;19.222;1.570;2.985;7.746;1.100;4.340
11;Introvert;0;0;1;1.800;1;24.854;3.000;3.802;9.153;0.320;1.040
11;NonConscientious;4;2;0;-1.000;1;19.281;2.499;3.341;4.633;0.220;3.300
11;Neurotic;2;0;0;-1.000;0;8.914;1.137;4.486;3.682;0.520;0.000
12;Extrovert;0;0;0;-1.000;2;19.936;0.281;3.289;3.558;1.800;3.640
12;Introvert;6;2;1;3.468;1;29.084;2.696;3.241;3.676;0.320;1.960
12;NonConscientious;0;0;0;-1.000;3;21.808;0.914;3.014;7.613;0.520;5.240
12;Neurotic;0;0;0;-1.000;2;18.366;0.241;3.212;8.181;0.720;3.560
13;Extrovert;0;0;0;-1.000;4;12.555;0.002;2.490;4.026;1.180;5.680
13;Introvert;5;2;1;3.262;0;24.282;2.742;3.130;5.866;0.200;1.840
13;NonConscientious;1;0;0;-1.000;4;16.809;1.528;2.270;3.746;0.320;5.720
13;Neurotic;0;0;0;-1.000;0;12.425;0.075;2.779;5.938;0.860;1.240
14;Extrovert;0;0;0;-1.000;10;15.343;0.289;2.403;4.227;1.780;10.460
14;Introvert;3;2;1;6.056;1;35.748;3.000;3.253;5.482;0.420;1.960
14;NonConscientious;0;0;0;-1.000;4;27.137;3.000;2.514;6.490;0.120;7.920
14;Neurotic;3;0;0;-1.000;9;10.150;2.237;2.562;2.672;1.040;6.520
15;Extrovert;0;0;0;-1.000;2;17.196;1.228;2.797;6.643;1.680;3.640
15;Introvert;3;1;1;1.592;0;26.785;1.467;2.907;4.537;0.300;3.020
15;NonConscientious;3;1;0;-1.000;4;19.990;0.261;2.346;3.368;0.220;5.780
15;Neurotic;0;0;0;-1.000;2;12.407;0.528;2.424;6.913;0.520;4.940
16;Extrovert;1;0;0;-1.000;4;24.228;1.770;2.266;4.218;1.720;6.020
16;Introvert;0;0;1;5.693;9;36.909;3.000;2.657;6.814;0.320;6.340
16;NonConscientious;5;2;0;-1.000;2;24.235;1.685;2.468;2.273;0.660;4.960
16;Neurotic;0;0;0;-1.000;5;17.913;1.837;3.105;6.609;0.520;5.120
17;Extrovert;0;0;0;-1.000;4;26.170;0.799;2.865;6.529;3.480;7.740
17;Introvert;5;1;1;10.704;5;42.590;3.000;3.093;5.789;0.520;5.300
