episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape;
1;1;null;9.980;3.260;5.860;0.860
2;1;null;12.740;5.220;5.000;2.520
3;1;null;12.400;2.500;3.840;6.060
4;1;null;6.900;1.460;1.420;4.020
5;1;null;4.980;0.800;3.760;0.420
6;1;null;8.680;2.720;1.980;3.980
7;1;null;10.100;5.300;2.240;2.560
8;1;null;14.160;7.780;2.460;3.920
9;1;null;7.940;2.780;3.000;2.160
10;1;null;12.080;3.760;2.760;5.560
11;1;null;9.700;5.100;1.780;2.820
12;1;null;12.640;4.020;3.440;5.180
13;1;null;8.660;2.080;3.220;3.360
14;1;null;14.180;3.460;5.980;4.740
15;1;null;10.680;6.460;1.600;2.620
16;1;null;14.560;1.940;5.660;6.960
17;1;null;20.500;6.480;10.680;3.340
18;1;null;14.080;8.840;1.020;4.220
19;1;null;10.320;6.160;1.560;2.600
20;1;null;9.860;5.660;1.220;2.980
21;1;null;15.420;3.900;7.460;4.060
22;1;null;15.320;5.120;7.380;2.820
23;1;null;13.420;3.940;3.320;6.160
24;1;null;13.880;6.060;1.740;6.080
25;1;null;14.280;7.440;2.700;4.140
26;1;null;17.380;5.580;1.260;10.540
27;1;null;13.780;5.180;5.740;2.860
28;1;null;15.240;5.620;4.380;5.240
29;1;null;18.640;9.680;4.000;4.960
30;1;null;12.560;7.680;3.260;1.620
31;1;null;11.660;4.740;3.780;3.140
32;1;null;16.320;5.100;7.560;3.660
33;1;null;14.920;5.680;6.620;2.620
34;1;null;13.540;5.240;2.960;5.340
35;1;null;14.140;3.420;3.160;7.560
36;1;null;7.160;3.920;2.220;1.020
37;1;null;14.080;1.880;2.840;9.360
38;1;null;21.820;7.300;7.940;6.580
39;1;null;14.560;2.220;9.060;3.280
40;1;null;7.060;1.800;0.940;4.320
41;1;null;17.260;3.840;9.760;3.660
42;1;null;20.860;2.000;9.200;9.660
43;1;null;9.200;4.640;3.200;1.360
44;1;null;10.160;4.260;2.060;3.840
45;1;null;16.700;8.280;3.440;4.980
46;1;null;8.520;2.360;1.980;4.180
47;1;null;6.920;2.140;4.080;0.700
48;1;null;13.900;2.760;7.600;3.540
49;1;null;21.900;6.140;6.580;9.180
50;1;null;12.320;3.960;1.000;7.360
51;1;null;10.820;4.260;2.180;4.380
52;1;null;13.840;4.580;4.380;4.880
53;1;null;7.900;3.280;2.660;1.960
54;1;null;22.460;7.520;9.880;5.060
55;1;null;17.680;5.640;5.720;6.320
56;1;null;13.160;7.080;1.840;4.240
57;1;null;9.900;4.700;3.940;1.260
58;1;null;8.100;2.840;3.040;2.220
59;1;null;13.240;3.380;7.380;2.480
60;1;null;10.280;3.580;5.640;1.060
61;1;null;17.500;5.400;8.780;3.320
62;1;null;17.500;9.760;6.620;1.120
63;1;null;12.820;6.320;2.660;3.840
