personality,hitsInflicted_mean,hitsInflicted_std,dragonsKilled_mean,dragonsKilled_std,hasKey_mean,hasKey_std,timeToFindKey_mean,timeToFindKey_std,agentCollisions_mean,agentCollisions_std,distanceTraveled_mean,distanceTraveled_std,avgSpeed_mean,avgSpeed_std,avgDistanceFromAgents_mean,avgDistanceFromAgents_std,avgDistanceFromDragons_mean,avgDistanceFromDragons_std,idleTime_mean,idleTime_std,timeInVicinityOfAgents_mean,timeInVicinityOfAgents_std,keyPickupPct,killSharePct,hitSharePct
Extrovert,0.347,0.74,0.113,0.328,0.0,0.0,,,8.077,7.17,26.188,9.459,0.795,0.704,2.946,0.812,6.315,1.841,4.217,2.322,12.636,9.129,0.0,6.6,6.3
Intro_Iso,1.753,1.569,0.547,0.65,0.597,0.491,10.535,8.075,3.64,4.274,29.31,10.099,1.889,1.074,3.515,0.796,7.001,1.901,1.299,1.082,6.617,6.211,99.4,32.0,32.1
Neurotic,0.383,0.778,0.11,0.313,0.003,0.058,1.72,,6.007,6.145,20.834,7.537,0.917,0.715,3.33,0.982,7.172,2.072,1.774,1.226,9.326,7.885,0.6,6.4,7.0
NonConscientious,2.983,1.647,0.94,0.72,0.0,0.0,,,6.563,5.993,32.517,12.07,1.525,0.931,3.021,1.058,5.725,1.98,0.921,0.589,9.43,6.477,0.0,55.0,54.6
