episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
15;Neurotic;0;0;0;-1.000;0;16.017;1.519;4.242;7.813;4.900;0.000
16;Extrovert;0;0;0;-1.000;0;11.880;0.000;4.129;12.060;0.980;0.000
16;Intro_Iso;6;2;1;1.661;0;13.665;3.000;5.058;4.131;0.020;0.000
16;NonConscientious;0;0;0;-1.000;4;9.951;2.023;2.857;6.075;0.020;2.140
16;Neurotic;0;0;0;-1.000;4;9.197;2.045;2.867;7.798;0.220;2.140
17;Extrovert;1;1;0;-1.000;6;24.396;0.475;2.361;6.346;6.520;17.680
17;Intro_Iso;1;0;1;16.719;4;33.970;2.981;3.568;7.998;1.000;6.640
17;NonConscientious;4;1;0;-1.000;4;36.595;2.028;2.504;6.547;1.200;10.680
17;Neurotic;0;0;0;-1.000;2;18.202;0.270;3.026;8.082;2.220;9.860
18;Extrovert;0;0;0;-1.000;3;16.532;0.814;3.599;9.843;6.040;6.700
18;Intro_Iso;2;1;1;5.980;1;33.516;2.154;5.228;6.253;1.520;5.000
18;NonConscientious;4;1;0;-1.000;1;28.428;0.737;3.688;4.316;0.520;5.000
18;Neurotic;0;0;0;-1.000;3;11.723;0.904;4.250;11.860;3.620;6.700
19;Extrovert;1;1;0;-1.000;1;19.740;1.347;2.829;5.466;1.100;4.400
19;Intro_Iso;4;1;1;0.800;2;25.685;1.641;2.981;7.488;0.020;3.640
19;NonConscientious;1;0;0;-1.000;3;20.787;0.817;2.705;8.533;0.320;6.540
19;Neurotic;0;0;0;-1.000;0;7.772;0.962;4.689;13.151;1.380;0.000
20;Extrovert;0;0;0;-1.000;12;36.763;0.621;1.913;3.992;4.300;22.360
20;Intro_Iso;3;1;1;9.762;11;42.713;1.976;2.142;4.081;1.120;18.740
20;NonConscientious;3;1;0;-1.000;13;37.794;0.840;1.845;3.670;1.320;25.940
20;Neurotic;0;0;0;-1.000;8;28.231;0.527;2.444;5.076;3.320;13.320
21;Extrovert;1;1;0;-1.000;21;31.405;0.536;1.510;5.725;5.880;33.641
21;Intro_Iso;2;0;1;1.177;30;39.408;0.864;2.010;4.846;2.120;24.560
21;NonConscientious;3;1;0;-1.000;39;42.404;0.099;1.701;3.840;0.940;28.760
21;Neurotic;0;0;0;-1.000;42;32.508;1.070;1.626;7.066;2.620;34.021
22;Extrovert;0;0;0;-1.000;3;15.192;2.599;2.285;6.722;2.000;6.260
22;Intro_Iso;0;0;0;-1.000;0;18.945;1.402;3.276;10.633;0.620;0.000
22;NonConscientious;2;0;0;-1.000;1;23.130;2.565;2.463;6.484;0.320;5.440
22;Neurotic;1;1;0;-1.000;2;15.478;1.612;2.248;7.783;0.820;4.460
